Name,Division,State/Territory,Date of election,Type of election,Date ceased to be a Member,reason,Most recent party

"Abbott, Anthony John",Warringah,NSW,26.3.1994,by_election, ,current_member,LIB
"Abel, John Arthur",Evans,NSW,13.12.1975,,10.11.1977,retired,LIB
"Adams, Dick Godfrey Harry",Lyons,Tas.,13.3.1993,, ,current_member,ALP
"Adermann, Albert Evan",Fisher,Qld,2.12.1972,,1.12.1984,elected_elsewhere,NPA
,Fairfax,Qld,1.12.1984,,19.2.1990,retired,NPA
"Albanese, Anthony Norman",Grayndler,NSW,2.3.1996,, ,current_member,ALP
"Aldred, Kenneth James",Henty,Vic.,13.12.1975,,18.10.1980,defeated,LIB
,Bruce,Vic.,28.5.1983,by_election,24.3.1990,elected_elsewhere,LIB
,Deakin,Vic.,24.3.1990,,29.1.1996,retired,LIB
"Anderson, John Duncan",Gwydir,NSW,15.4.1989,by_election,17.10.2007,retired,NP
"Andren, Peter James",Calare,NSW,2.3.1996,,17.10.2007,retired,IND
"Andrew, John Neil",Wakefield,SA,5.3.1983,,31.8.2004,retired,LIB
"Andrews, Kevin James",Menzies,Vic.,11.5.1991,by_election, ,current_member,LIB
"Anthony, John Douglas",Richmond,NSW,14.9.1957,by_election,18.1.1984,resigned,NPA
"Anthony, Lawrence James",Richmond,NSW,2.3.1996,, ,current_member,NP
"Armitage, John Lindsay",Mitchell,NSW,9.12.1961,,30.11.1963,defeated,ALP
,Chifley,NSW,25.10.1969,,4.2.1983,retired,ALP
"Atkinson, Rodney Alexander",Isaacs,Vic.,24.3.1990,,2.3.1996,defeated,LIB
"Bailey, Frances Esther",McEwen,Vic.,24.3.1990,,13.3.1993,defeated,LIB
,McEwen,Vic.,2.3.1996,, ,current_member,LIB
"Baillieu, Marshall",La Trobe,Vic.,13.12.1975,,18.10.1980,defeated,LIB
"Baird, Bruce George",Cook,NSW,3.10.1998,,17.10.2007,retired,LIB
"Baker, Mark Horden",Braddon,Tas.,9.10.2004,, ,current_member,LIB
"Baldwin, Peter Jeremy",Sydney,NSW,5.3.1983,,31.8.1998,retired,ALP
"Baldwin, Robert Charles",Paterson,NSW,2.3.1996,,3.10.1998,defeated,LIB
,Paterson,NSW,10.11.2001,, ,current_member,LIB
"Barresi, Phillip Anthony",Deakin,Vic.,2.3.1996,, ,current_member,LIB
"Bartlett, Kerry Joseph",Macquarie,NSW,2.3.1996,, ,current_member,LIB
"Baume, Michael Ehrenfried",Macarthur,NSW,13.12.1975,,5.3.1983,defeated,LIB
"Beale, Julian Howard",Deakin,Vic.,1.12.1984,,Until elected for Bruce,elected_elsewhere,LIB
,Bruce,Vic.,24.3.1990,,2.3.1996,defeated,LIB
"Beazley, Kim Christian",Swan,WA,18.10.1980,,Until elected for Brand,elected_elsewhere,ALP
,Brand,WA,2.3.1996,,17.10.2007,retired,ALP
"Beddall, David Peter",Fadden,Qld,5.3.1983,,Until elected for Rankin,elected_elsewhere,ALP
,Rankin,Qld,1.12.1984,,31.8.1998,retired,ALP
"Bevis, Archibald Ronald",Brisbane,Qld,24.3.1990,, ,current_member,ALP
"Billson, Bruce Fredrick",Dunkley,Vic.,2.3.1996,, ,current_member,LIB
"Bilney, Gordon Neil",Kingston,SA,5.3.1983,,2.3.1996,defeated,ALP
"Birney, Reginald John",Phillip,NSW,13.12.1975,,5.3.1983,defeated,LIB
"Bishop, Bronwyn Kathleen",Mackellar,NSW,26.3.1994,by_election, ,current_member,LIB
"Bishop, Julie Isabel",Curtin,WA,3.10.1998,, ,current_member,LIB
"Blanchard, Cecil Allen",Moore,WA,5.3.1983,,24.3.1990,defeated,ALP
"Blewett, Neal",Bonython,SA,10.12.1977,,11.2.1994,resigned,ALP
"Blunt, Charles William",Richmond,NSW,18.2.1984,by_election,24.3.1990,defeated,NPA
"Bourchier, John William",Bendigo,Vic.,2.12.1972,,5.3.1983,defeated,LIB
"Bowen, Christopher Eyles",Prospect,NSW,9.10.2004,, ,current_member,ALP
"Bowen, Lionel Frost",Kingsford-Smith,NSW,25.10.1969,,19.2.1990,retired,ALP
"Bradfield, James Mark",Barton,NSW,13.12.1975,,5.3.1983,defeated,LIB
"Bradford, John Walter",McPherson,Qld,24.3.1990,,3.10.1998,defeated,CDP
"Braithwaite, Raymond Allen",Dawson,Qld,13.12.1975,,29.1.1996,retired,NPA
"Brereton, Laurence John",Kingsford Smith,NSW,24.3.1990,,31.8.2004,retired,ALP
"Broadbent, Russell Evan",Corinella,Vic.,24.3.1990,,13.3.1993,defeated,LIB
,McMillan,Vic.,2.3.1996,,3.10.1998,defeated,LIB
,McMillan,Vic.,9.10.2004,,,current_member,LIB
"Brough, Malcolm Thomas",Longman,Qld,2.3.1996,, ,current_member,LIB
"Brown, John Joseph",Parramatta,NSW,10.12.1977,,19.2.1990,retired,ALP
"Brown, Joseph Tilley",Indi,Vic.,12.12.1906,,13.4.1910,defeated,ANTI-SOC
,,Vic.,13.12.1975,,5.3.1983,defeated,LIB
Diamond Valley,Menzies,Vic.,1.12.1984,,25.2.1991,resigned,LIB
"Brown, Robert James",Hunter,NSW,18.10.1980,,Until elected for Charlton,elected_elsewhere,ALP
,Charlton,NSW,1.12.1984,,31.8.1998,retired,ALP
"Brumby, John Mansfield",Bendigo,Vic.,5.3.1983,,24.3.1990,defeated,ALP
"Bryant, Gordon Munro",Wills,Vic.,10.12.1955,,19.9.1980,retired,ALP
"Bungey, Melville Harold",Canning,WA,18.5.1974,,5.3.1983,defeated,LIB
"Burke, Anna Elizabeth",Chisholm,Vic.,3.10.1998,, ,current_member,ALP
"Burke, Anthony Stephen",Watson,NSW,9.10.2004,, ,current_member,ALP
"Burns, William George",Isaacs,Vic.,10.12.1977,,18.10.1980,defeated,LIB
"Burr, Maxwell Arthur",Wilmot,Tas.,13.12.1975,,Until elected for Lyons,elected_elsewhere,LIB
,Lyons,Tas.,1.12.1984,,8.2.1993,retired,LIB
"Byrne, Anthony Michael",Holt,Vic.,6.11.1999,by_election, ,current_member,ALP
"Cadman, Alan Glyndwr",Mitchell,NSW,18.5.1974,,17.10.2007,retired,LIB
,Lilley,Qld,18.5.1974,,18.10.1980,defeated,LIB
"Calder, Stephen Edward",Northern Territory,NT,26.11.1966,,19.9.1980,retired,NCP
"Cameron, Clyde Robert",Hindmarsh,SA,10.12.1949,,19.9.1980,retired,ALP
"Cameron, Donald Milner",Griffith,Qld,26.11.1966,,Until elected for Fadden,elected_elsewhere,LIB
,Fadden,Qld,10.12.1977,,5.3.1983,defeated,LIB
,Moreton,Qld,5.11.1983,by_election,24.3.1990,defeated,LIB
"Cameron, Eoin Harrap",Stirling,WA,13.3.1993,,3.10.1998,defeated,LIB
"Cameron, Ewen Colin",Indi,Vic.,10.12.1977,,8.2.1993,retired,LIB
"Cameron, Ian Milne Dixon",Maranoa,Qld,18.10.1980,,19.2.1990,retired,NPA
"Cameron, Ross Alexander",Parramatta,NSW,2.3.1996,,9.10.2004,defeated,LIB
"Campbell, Graeme",Kalgoorlie,WA,18.10.1980,,3.10.1998,defeated,IND
"Carlton, James Joseph",Mackellar,NSW,10.12.1977,,14.1.1994,resigned,LIB
"Cass, Moses Henry",Maribyrnong,Vic.,25.10.1969,,4.2.1983,retired,ALP
"Catley, Robert",Adelaide,SA,24.3.1990,,13.3.1993,defeated,ALP
"Catts, James Howard",Cook,NSW,12.12.1906,,16.12.1922,defeated,ALP
"Causley, Ian Raymond",Page,NSW,2.3.1996,,17.10.2007,retired,NP
"Chaney, Frederick Michael",Pearce,WA,24.3.1990,,8.2.1993,retired,LIB
"Chapman, Hedley Grant Pearson",Kingston,SA,13.12.1975,,5.3.1983,defeated,LIB
"Charles, David Ernest",Isaacs,Vic.,18.10.1980,,19.2.1990,retired,ALP
"Charles, Robert Edwin",La Trobe,Vic.,24.3.1990,,31.8.2004,retired,LIB
"Charlesworth, Richard Ian",Perth,WA,5.3.1983,,8.2.1993,retired,ALP
,Henty,Vic.,18.10.1980,,19.2.1990,retired,ALP
"Chynoweth, Robert Leslie",Flinders,Vic.,5.3.1983,,Until elected for Dunkley,elected_elsewhere,ALP
,Dunkley,Vic.,1.12.1984,,24.3.1990,defeated,ALP
,Dunkley,Vic.,13.3.1993,,2.3.1996,defeated,ALP
"Ciobo, Steven Michele",Moncrieff,Qld,10.11.2001,, ,current_member,LIB
"Cleary, Philip Ronald",Wills,Vic.,11.4.1992,by_election,25.11.1992 (declare void),declared_void,IND
,Wills,Vic.,13.3.1993,,2.3.1996,defeated,IND
"Cleeland, Peter Robert",McEwen,Vic.,1.12.1984,,24.3.1990,defeated,ALP
,McEwen,Vic.,13.3.1993,,2.3.1996,defeated,ALP
"Cobb, John Kenneth",Parkes,NSW,10.11.2001,, ,current_member,NP
"Cobb, Michael Roy",Parkes,NSW,1.12.1984,,31.8.1998,retired,NPA
"Cohen, Barry",Robertson,NSW,25.10.1969,,19.2.1990,retired,ALP
"Coleman, William Peter",Wentworth,NSW,11.4.1981,by_election,5.6.1987,retired,LIB
"Connolly, David Miles",Bradfield,NSW,18.5.1974,,29.1.1996,retired,LIB
"Conquest, Bryan Joseph",Hinkler,Qld,1.12.1984,,11.7.1987,defeated,NPA
"Corbett, James",Maranoa,Qld,26.11.1966,,19.9.1980,retired,NCP
"Corcoran, Ann Kathleen",Isaacs,Vic.,12.8.2000,by_election,17.10.2007,retired,ALP
"Costello, Peter Howard",Higgins,Vic.,24.3.1990,, ,current_member,LIB
"Cotter, John Francis",Kalgoorlie,WA,13.12.1975,,18.10.1980,defeated,LIB
"Courtice, Brian William",Hinkler,Qld,11.7.1987,,13.3.1993,defeated,ALP
"Cowan, David Bruce",Lyne,NSW,18.10.1980,,8.2.1993,retired,NPA
"Cox, David Alexander",Kingston,SA,3.10.1998,,9.10.2004,defeated,ALP
"Crawford, Mary Catherine",Forde,Qld,11.7.1987,,2.3.1996,defeated,ALP
"Crean, Simon Findlay",Hotham,Vic.,24.3.1990,,,current_member,ALP
"Crosio, Janice Anne",Prospect,NSW,24.3.1990,,31.8.2004,retired,ALP
,Brisbane,Qld,18.10.1980,,19.2.1990,retired,ALP
"Cunningham, Barry Thomas",McMillan,Vic.,18.10.1980,,24.3.1990,defeated,ALP
,McMillan,Vic.,13.3.1993,,2.3.1996,defeated,ALP
"Danby, Michael David",Melbourne Ports,Vic.,3.10.1998,,,current_member,ALP
"Dargavel, Steven John",Fraser,ACT,1.2.1997,by_election,31.8.1998,retired,ALP
"Darling, Elaine Elizabeth",Lilley,Qld,18.10.1980,,8.2.1993,retired,ALP
,Fremantle,WA,10.12.1977,,4.2.1994,resigned,ALP
"Deahm, Margaret Joan",Macquarie,NSW,13.3.1993,,2.3.1996,defeated,ALP
"Dean, Arthur Gordon",Herbert,Qld,10.12.1977,,5.3.1983,defeated,LIB
"Dobie, James Donald Mathieson",Hughes,NSW,26.11.1966,,Until elected for Cook,elected_elsewhere,LIB
,Cook,NSW,25.10.1969,,2.12.1972,defeated,LIB
,Cook,NSW,13.12.1975,,29.1.1996,retired,LIB
"Dodd, Peter George",Leichhardt,Qld,13.3.1993,,2.3.1996,defeated,ALP
"Dondas, Nicholas Manuel",Northern Territory,NT,2.3.1996,,3.10.1998,defeated,CLP
"Downer, Alexander John Gosse",Mayo,SA,1.12.1984,,,current_member,LIB
"Draper, Patricia",Makin,SA,2.3.1996,,17.10.2007,retired,LIB
"Drummond, Peter Hertford",Forrest,WA,2.12.1972,,5.6.1987,retired,LIB
"Dubois, Stephen Cairfield",St George,NSW,1.12.1984,,8.2.1993,retired,ALP
"Duffy, Michael John",Holt,Vic.,18.10.1980,,29.1.1996,retired,ALP
"Duncan, Peter",Makin,SA,1.12.1984,,2.3.1996,defeated,ALP
"Dutton, Peter Craig",Dickson,Qld,10.11.2001,,,current_member,LIB
"Easson, Mary Louise",Lowe,NSW,13.3.1993,,2.3.1996,defeated,ALP
"Edwards, Graham John",Cowan,WA,3.10.1998,,17.10.2007,retired,ALP
"Edwards, Harold Raymond",Berowra,NSW,2.12.1972,,8.2.1993,retired,LIB
"Edwards, Ronald Frederick",Stirling,WA,5.3.1983,,13.3.1993,defeated,ALP
"Ellicott, Robert James",Wentworth,NSW,18.5.1974,,17.2.1981,resigned,LIB
"Elliot, Maria Justine",Richmond,NSW,9.10.2004,, ,current_member,ALP
"Elliott, Robert Paul",Parramatta,NSW,24.3.1990,,2.3.1996,defeated,ALP
"Ellis, Annette Louise",Namadgi,ACT,2.3.1996,,,current_member,ALP
"Ellis, Katherine Margaret",Adelaide,SA,9.10.2004,,,current_member,ALP
"Elson, Kay Selma",Forde,Qld,2.3.1996,,17.10.2007,retired,LIB
"Emerson, Craig Anthony",Rankin,Qld,3.10.1998,,,current_member,ALP
"Entsch, Warren George",Leichhardt,Qld,2.3.1996,,17.10.2007,retired,LIB
"Evans, Gareth John",Holt,Vic.,2.3.1996,,30.9.1999,resigned,ALP
"Evans, Martyn John",Bonython,SA,19.3.1994,by_election,9.10.2004,defeated,ALP
"Evans, Richard David Conroy",Cowan,WA,13.3.1993,,3.10.1998,defeated,LIB
,Capricornia,Qld,10.12.1977,,26.10.1984,retired,ALP
"Everingham, Paul Anthony Edward",Northern Territory,NT,1.12.1984,,5.6.1987,retired,LIB
"Fahey, John Joseph",Macarthur,NSW,2.3.1996,,8.10.2001,retired,LIB
"Falconer, Peter David",Casey,Vic.,13.12.1975,,5.3.1983,defeated,LIB
"Farmer, Patrick Francis",Macarthur,NSW,10.11.2001,,,current_member,LIB
"Fatin, Wendy Frances",Canning,WA,5.3.1983,,Until elected for Brand,elected_elsewhere,ALP
,Brand,WA,1.12.1984,,29.1.1996,retired,ALP
"Fawcett, David Julian",Wakefield,SA,9.10.2004,, ,current_member,LIB
"Ferguson, Laurie Donald Thomas",Reid,NSW,24.3.1990,,,current_member,ALP
"Ferguson, Martin John",Batman,Vic.,2.3.1996,,,current_member,ALP
"Ferguson, Michael Darrel",Bass,Tas.,9.10.2004,,,current_member,LIB
"Fife, Wallace Clyde",Farrer,NSW,13.12.1975,,Until elected for Hume,elected_elsewhere,LIB
,Hume,NSW,1.12.1984,,8.2.1993,retired,LIB
"Filing, Paul Anthony",Moore,WA,24.3.1990,,3.10.1998,defeated,IND
"Fischer, Timothy Andrew",Farrer,NSW,1.12.1984,,8.10.2001,retired,NPA
"Fisher, Peter Stanley",Mallee,Vic.,2.12.1972,,8.2.1993,retired,NPA
"Fitzgibbon, Eric John",Hunter,NSW,1.12.1984,,29.1.1996,retired,ALP
"Fitzgibbon, Joel Andrew",Hunter,NSW,2.3.1996,,,current_member,ALP
"FitzPatrick, John",Darling,NSW,25.10.1969,,Until elected for Riverina,elected_elsewhere,ALP
,Riverina,NSW,10.12.1977,,19.9.1980,retired,ALP
"Ford, Frank Allen",Dunkley,Vic.,24.3.1990,,13.3.1993,defeated,LIB
"Forrest, John Alexander",Mallee,Vic.,13.3.1993,, ,current_member,NP
"Free, Ross Vincent",Macquarie,NSW,18.10.1980,,Until elected for Lindsay,elected_elsewhere,ALP
,Lindsay,NSW,1.12.1984,,2.3.1996,defeated,ALP
"Fry, Kenneth Lionel",Fraser,ACT,18.5.1974,,26.10.1984,retired,ALP
"Gallus, Christine Ann",Hawker,SA,24.3.1990,,Until elected for Hindmarsh,elected_elsewhere,LIB
,Hindmarsh,SA,13.3.1993,,31.8.2004,retired,LIB
"Gambaro, Teresa",Petrie,Qld,2.3.1996,, ,current_member,LIB
"Garland, Ransley Victor",Curtin,WA,19.4.1969,by_election,22.1.1981,resigned,LIB
"Garrett, Peter Robert",Kingsford Smith,NSW,9.10.2004,, ,current_member,ALP
"Gash, Joanna",Gilmore,NSW,2.3.1996,, ,current_member,LIB
"Gayler, John",Leichhardt,Qld,5.3.1983,,8.2.1993,retired,ALP
"Gear, George",Tangney,WA,5.3.1983,,Until elected for Canning,elected_elsewhere,ALP
,Canning,WA,1.12.1984,,2.3.1996,defeated,ALP
"Georganas, Steven",Hindmarsh,SA,9.10.2004,, ,current_member,ALP
"George, Jennie",Throsby,NSW,10.11.2001,, ,current_member,ALP
"Georgiou, Petro",Kooyong,Vic.,19.11.1994,by_election, ,current_member,LIB
"Gerick, Jane Frances",Canning,WA,3.10.1998,,10.11.2001,defeated,ALP
"Gibbons, Stephen William",Bendigo,Vic.,3.10.1998,, ,current_member,ALP
"Gibson, Garrie David",Moreton,Qld,24.3.1990,,2.3.1996,defeated,ALP
"Giles, Geoffrey OÕHalloran",Angas,SA,20.6.1964,by_election,Until elected for Wakefield,elected_elsewhere,LIB
,Wakefield,SA,10.12.1977,,4.2.1983,retired,LIB
"Gillard, Julia Eileen",Lalor,Vic.,3.10.1998,, ,current_member,ALP
"Gillard, Reginald",Macquarie,NSW,13.12.1975,,18.10.1980,defeated,LIB
"Goodluck, Bruce John",Franklin,Tas.,13.12.1975,,8.2.1993,retired,LIB
"Gorman, Russell Neville Joseph",Chifley,NSW,5.3.1983,,Until elected for Greenway,elected_elsewhere,ALP
,Greenway,NSW,1.12.1984,,29.1.1996,retired,ALP
"Grace, Edward Laurence",Fowler,NSW,1.12.1984,,31.8.1998,retired,ALP
"Grace, Elizabeth Jane",Lilley,Qld,2.3.1996,,3.10.1998,defeated,LIB
"Graham, Bruce William",St George,NSW,10.12.1949,,29.5.1954,defeated,LIB
,St George,NSW,10.12.1955,,22.11.1958,defeated,LIB
,North Sydney,NSW,26.11.1966,,19.9.1980,retired,LIB
"Grierson, Sharon Joy",Newcastle,NSW,10.11.2001,, ,current_member,ALP
"Griffin, Alan Peter",Corinella,Vic.,13.3.1993,,Until elected for Bruce,elected_elsewhere,ALP
,Bruce,Vic.,2.3.1996,, ,current_member,ALP
"Griffiths, Alan Gordon",Maribyrnong,Vic.,5.3.1983,,29.1.1996,retired,ALP
"Groom, Raymond John",Braddon,Tas.,13.12.1975,,26.10.1984,retired,LIB
"Haase, Barry Wayne",Kalgoorlie,WA,3.10.1998,, ,current_member,LIB
"Hall, Jill Griffiths",Shortland,NSW,3.10.1998,, ,current_member,ALP
"Hall, Raymond Steele",Boothby,SA,21.2.1981,by_election,29.1.1996,retired,LIB
"Halverson, Robert George",Casey,Vic.,1.12.1984,,31.8.1998,retired,LIB
"Hand, Gerard Leslie",Melbourne,Vic.,5.3.1983,,8.2.1993,retired,ALP
"Hanson, Pauline Lee",Oxley,Qld,2.3.1996,,3.10.1998,defeated,PHON
"Hardgrave, Gary Douglas",Moreton,Qld,2.3.1996,, ,current_member,LIB
"Harris, Graham McDonald",Chisholm,Vic.,18.10.1980,,5.3.1983,defeated,LIB
"Hartsuyker, Luke",Cowper,NSW,10.11.2001,, ,current_member,NP
"Harvey, Elizabeth Robyn",Hawker,SA,11.7.1987,,24.3.1990,defeated,ALP
"Haslem, John Whitton",Canberra,ACT,13.12.1975,,18.10.1980,defeated,LIB
"Hatton, Michael John",Blaxland,NSW,15.6.1996,by_election,17.10.2007,retired,ALP
"Haviland, Christopher Douglas",Macarthur,NSW,13.3.1993,,29.1.1996,retired,ALP
"Hawke, Robert James Lee",Wills,Vic.,18.10.1980,,20.2.1992,resigned,ALP
"Hawker, David Peter Maxwell",Wannon,Vic.,7.5.1983,by_election, ,current_member,LIB
"Hayden, William George",Oxley,Qld,9.12.1961,,17.8.1988,resigned,ALP
"Hayes, Christopher Patrick",Werriwa,NSW,19.3.2005,by_election, ,current_member,ALP
"Henry, Stuart Irwin",Hasluck,WA,9.10.2004,, ,current_member,LIB
"Henzell, Marjorie Madeline",Capricornia,Qld,13.3.1993,,2.3.1996,defeated,ALP
"Hewson, John Robert",Wentworth,NSW,11.7.1987,,28.2.1995,resigned,LIB
"Hicks, Noel Jeffrey",Riverina,NSW,18.10.1980,,Until elected for Riverina-Darling,elected_elsewhere,NPA
,Riverina-Darling,NSW,1.12.1984,,Until elected for Riverina,elected_elsewhere,NPA
,Riverina,NSW,13.3.1993,,31.8.1998,retired,NPA
"Hoare, Kelly Joy",Charlton,NSW,3.10.1998,,17.10.2007,retired,ALP
"Hockey, Joseph Benedict",North Sydney,NSW,2.3.1996,, ,current_member,LIB
"Hodges, John Charles",Petrie,Qld,18.5.1974,,5.3.1983,defeated,LIB
,Petrie,Qld,1.12.1984,,11.7.1987,defeated,LIB
"Hodgman, William Michael",Denison,Tas.,13.12.1975,,11.7.1987,defeated,LIB
"Holding, Allan Clyde",Melbourne Ports,Vic.,10.12.1977,,31.8.1998,retired,ALP
"Hollis, Colin",Macarthur,NSW,5.3.1983,,Until elected for Throsby,elected_elsewhere,ALP
,Throsby,NSW,1.12.1984,,8.10.2001,retired,ALP
"Horne, Robert Hodges",Paterson,NSW,13.3.1993,,2.3.1996,defeated,ALP
,Paterson,NSW,3.10.1998,,10.11.2001,defeated,ALP
"Howard, John Winston",Bennelong,NSW,18.5.1974,, ,current_member,LIB
"Howe, Brian Leslie",Batman,Vic.,10.12.1977,,29.1.1996,retired,ALP
"Hull, Kay Elizabeth",Riverina,NSW,3.10.1998,, ,current_member,NPA
"Hulls, Rob Justin",Kennedy,Qld,24.3.1990,,13.3.1993,defeated,ALP
"Humphreys, Benjamin Charles",Griffith,Qld,10.12.1977,,29.1.1996,retired,ALP
"Hunt, Gregory Andrew",Flinders,Vic.,10.11.2001,, ,current_member,LIB
"Hunt, Ralph James Dunnet",Gwydir,NSW,7.6.1969,by_election,24.2.1989,resigned,NPA
"Hurford, Christopher John",Adelaide,SA,25.10.1969,,31.12.1987,resigned,ALP
"Hyde, John Martin",Moore,WA,18.5.1974,,5.3.1983,defeated,LIB
"Innes, Urquhart Edward",Melbourne,Vic.,2.12.1972,,4.2.1983,retired,ALP
"Irwin, Julia Claire",Fowler,NSW,3.10.1998,, ,current_member,ALP
"Jackson, Sharryn Maree",Hasluck,WA,10.11.2001,,9.10.2004,defeated,ALP
"Jacobi, Ralph",Hawker,SA,25.10.1969,,5.6.1987,retired,ALP
"Jakobsen, Carolyn Anne",Cowan,WA,1.12.1984,,13.3.1993,defeated,ALP
