Name,Division,State/Territory,Date of election,Type of election,Date ceased to be a Member,reason,Most recent party
"James, Albert William",Hunter,NSW,9.4.1960,by_election,19.9.1980,retired,ALP
"Jarman, Alan William",Deakin,Vic.,26.11.1966,,5.3.1983,defeated,LIB
"Jeanes, Susan Barbara",Kingston,SA,2.3.1996,,3.10.1998,defeated,LIB
"Jenkins, (Dr) Henry Alfred",Scullin,Vic.,25.10.1969,,20.12.1985,resigned,ALP
"Jenkins, Henry Alfred",Scullin,Vic.,8.2.1986,by_election, ,current_member,ALP
"Jensen, Dennis Geoffrey",Tangney,WA,9.10.2004,, ,current_member,LIB
"Johns, Gary Thomas",Petrie,Qld,11.7.1987,,2.3.1996,defeated,ALP
"Johnson, Leonard Keith",Burke,Vic.,25.10.1969,,19.9.1980,retired,ALP
"Johnson, Leslie Royston",Hughes,NSW,10.12.1955,,26.11.1966,defeated,ALP
,Hughes,NSW,25.10.1969,,19.12.1983,resigned,ALP
"Johnson, Michael Andrew",Ryan,Qld,10.11.2001,, ,current_member,LIB
"Johnson, Peter Francis",Brisbane,Qld,13.12.1975,,18.10.1980,defeated,LIB
"Johnston, James Roger",Hotham,Vic.,10.12.1977,,18.10.1980,defeated,LIB
"Johnston, Ricky",Canning,WA,2.3.1996,,3.10.1998,defeated,LIB
"Jones, Barry Owen",Lalor,Vic.,10.12.1977,,31.8.1998,retired,ALP
"Jones, Charles Keith",Newcastle,NSW,22.11.1958,,4.2.1983,retired,ALP
"Jull, David Francis",Bowman,Qld,13.12.1975,,5.3.1983,defeated,LIB
,Fadden,Qld,1.12.1984,,17.10.2007,retired,LIB
"Katter, Robert Carl",Kennedy,Qld,13.3.1993,, ,current_member,IND
"Katter, Robert Cummin",Kennedy,Qld,26.11.1966,,19.2.1990,retired,NPA
"Keating, Paul John",Blaxland,NSW,25.10.1969,,23.4.1996,resigned,ALP
"Keenan, Michael Fayat",Stirling,WA,9.10.2004,, ,current_member,LIB
"Kelly, De-Anne Margaret",Dawson,Qld,2.3.1996,, ,current_member,NP
"Kelly, Jacqueline Marie",Lindsay,NSW,2.3.1996,,11.9.1996 (declared void),declared_void,LIB
,Lindsay,NSW,19.10.1996,by_election,17.10.2007,retired,LIB
"Kelly, Roslyn Joan",Canberra,ACT,18.10.1980,,30.1.1995,resigned,ALP
"Kemp, David Alistair",Goldstein,Vic.,24.3.1990,,31.8.2004,retired,LIB
"Kent, Lewis",Hotham,Vic.,18.10.1980,,24.3.1990,defeated,ALP
,Bowman,Qld,5.3.1983,,5.6.1987,retired,ALP
,Werriwa,NSW,23.9.1978,by_election,22.12.1993,resigned,ALP
"Kernot, Cheryl",Dickson,Qld,3.10.1998,,10.11.2001,defeated,ALP
"Kerr, Duncan James Colquhoun",Denison,Tas.,11.7.1987,, ,current_member,ALP
"Killen, Denis James (later Sir James)",Moreton,Qld,10.12.1955,,15.8.1983,resigned,LIB
"King, Catherine Fiona",Ballarat,Vic.,10.11.2001,, ,current_member,ALP
"King, Peter Edward",Wentworth,NSW,10.11.2001,,9.10.2004,defeated,IND
"Klugman, Richard Emanuel",Prospect,NSW,25.10.1969,,19.2.1990,retired,ALP
"Knott, Peter John",Gilmore,NSW,13.3.1993,,2.3.1996,defeated,ALP
"Lamb, Antony Hamilton",La Trobe,Vic.,2.12.1972,,13.12.1975,defeated,ALP
,Streeton,Vic.,1.12.1984,,24.3.1990,defeated,ALP
"Laming, Andrew Charles",Bowman,Qld,9.10.2004,, ,current_member,LIB
"Langmore, John Vance",Fraser,ACT,1.12.1984,,6.12.1996,resigned,ALP
"Latham, Mark William",Werriwa,NSW,29.1.1994,by_election,21.1.2005,resigned,ALP
"Lavarch, Michael Hugh",Fisher,Qld,11.7.1987,,Until elected for Dickson,elected_elsewhere,ALP
,Dickson,Qld,17.4.1993 ,,2.3.1996,defeated,ALP
"Lawler, Anthony John",Parkes,NSW,3.10.1998,,8.10.2001,retired,NPA
"Lawrence, Carmen Mary",Fremantle,WA,12.3.1994,by_election,17.10.2007,retired,ALP
"Lee, Michael John",Dobell,NSW,1.12.1984,,10.11.2001,defeated,ALP
"Ley, Sussan Penelope",Farrer,NSW,10.11.2001,, ,current_member,LIB
"Lieberman, Louis Stuart",Indi,Vic.,13.3.1993,,8.10.2001,retired,LIB
"Lindsay, Eamon John",Herbert,Qld,5.3.1983,,2.3.1996,defeated,ALP
"Lindsay, Peter John",Herbert,Qld,2.3.1996,, ,current_member,LIB
"Livermore, Kirsten Fiona",Capricornia,Qld,3.10.1998,, ,current_member,ALP
"Lloyd, Bruce",Murray,Vic.,20.3.1971,by_election,29.1.1996,retired,NPA
"Lloyd, James Eric",Robertson,NSW,2.3.1996,, ,current_member,LIB
"Lucock, Philip Ernest",Lyne,NSW,22.3.1952,by_election,19.9.1980,retired,NCP
"Lusher, Stephen Augustus",Hume,NSW,18.5.1974,,1.12.1984,defeated,NPA
"Lynch, Phillip Reginald (later Sir Phillip)",Flinders,Vic.,26.11.1966,,22.10.1982,resigned,LIB
"McArthur, Fergus Stewart",Corangamite,Vic.,18.2.1984,by_election, ,current_member,LIB
"McClelland, Robert Bruce",Barton,NSW,2.3.1996,, ,current_member,ALP
"McDougall, Graeme Robert",Griffith,Qld,2.3.1996,,3.10.1998,defeated,LIB
"Macfarlane, Ian Elgin",Groom,Qld,3.10.1998,, ,current_member,LIB
"McFarlane, Jann Sonya",Stirling,WA,3.10.1998,,9.10.2004,defeated,ALP
"McGauran, Peter John",Gippsland,Vic.,5.3.1983,, ,current_member,NP
"McHugh, Jeannette",Phillip,NSW,5.3.1983,,Until elected for Grayndler,elected_elsewhere,ALP
,Grayndler,NSW,13.3.1993,,29.1.1996,retired,ALP
"Mack, Edward Carrington",North Sydney,NSW,24.3.1990,,29.1.1996,retired,IND
"MacKellar, Michael John Randal",Warringah,NSW,25.10.1969,,18.2.1994,resigned,LIB
"MacKenzie, Alexander John",Calare,NSW,13.12.1975,,5.3.1983,defeated,NPA
"Macklin, Jennifer Louise",Jagajaga,Vic.,2.3.1996,, ,current_member,ALP
"McLachlan, Ian Murray",Barker,SA,24.3.1990,,31.8.1998,retired,LIB
"McLean, Ross Malcolm",Perth,WA,13.12.1975,,5.3.1983,defeated,LIB
"McLeay, John Elden",Boothby,SA,26.11.1966,,22.1.1981,resigned,LIB
"McLeay, Leo Boyce",Grayndler,NSW,23.6.1979,by_election,Until elected for Watson,elected_elsewhere,ALP
,Watson,NSW,13.3.1993,,31.8.2004,retired,ALP
"McMahon, James Leslie",Sydney,NSW,13.12.1975,,4.2.1983,retired,ALP
"McMahon, William (later Sir William)",Lowe,NSW,10.12.1949,,4.1.1982,resigned,LIB
"McMullan, Robert Francis",Canberra,ACT,2.3.1996,, ,current_member,ALP
"Macphee, Ian Malcolm",Balaclava,Vic.,18.5.1974,,Until elected for Goldstein,elected_elsewhere,LIB
,Goldstein,Vic.,1.12.1984,,19.2.1990,retired,LIB
"McVeigh, Daniel Thomas",Darling Downs,Qld,2.12.1972,,Until elected for Groom,elected_elsewhere,NPA
,Groom,Qld,1.12.1984,,29.2.1988,resigned,NPA
"Maher, Michael John",Lowe,NSW,13.3.1982,by_election,11.7.1987,defeated,ALP
"Marek, Paul",Capricornia,Qld,2.3.1996,,3.10.1998,defeated,NPA
"Markus, Louise Elizabeth",Greenway,NSW,9.10.2004,, ,current_member,LIB
"Martin, Stephen Paul",Macarthur,NSW,1.12.1984,,Until elected for Cunningham,elected_elsewhere,ALP
,Cunningham,NSW,13.3.1993,,16.8.2002,resigned,ALP
"Martin, Vincent Joseph",Banks,NSW,25.10.1969,,19.9.1980,retired,ALP
"Martyr, John Raymond",Swan,WA,13.12.1975,,18.10.1980,defeated,LIB
"May, Margaret Ann",McPherson,Qld,3.10.1998,, ,current_member,LIB
"Mayer, Helen",Chisholm,Vic.,5.3.1983,,11.7.1987,defeated,ALP
"Melham, Daryl",Banks,NSW,24.3.1990,, ,current_member,ALP
"Mildren, John Barry",Ballarat,Vic.,18.10.1980,,24.3.1990,defeated,ALP
"Miles, Christopher Gordon",Braddon,Tas.,1.12.1984,,3.10.1998,defeated,LIB
"Millar, Percival Clarence",Wide Bay,Qld,18.5.1974,,19.2.1990,retired,NPA
"Milton, Peter",La Trobe,Vic.,18.10.1980,,24.3.1990,defeated,ALP
"Moore, John Colinton",Ryan,Qld,13.12.1975,,5.2.2001,resigned,LIB
"Morris, Allan Agapitos",Newcastle,NSW,5.3.1983,,8.10.2001,retired,ALP
"Morris, Peter Frederick",Shortland,NSW,2.12.1972,,31.8.1998,retired,ALP
,St George,NSW,18.10.1980,,26.10.1984,retired,ALP
"Mossfield, Frank William",Greenway,NSW,2.3.1996,,31.8.2004,retired,ALP
"Mountford, John Graham",Banks,NSW,18.10.1980,,19.2.1990,retired,ALP
"Moylan, Judith Eleanor",Pearce,WA,13.3.1993,, ,current_member,LIB
"Murphy, John Paul",Lowe,NSW,3.10.1998,, ,current_member,ALP
"Mutch, Stephen Bruce",Cook,NSW,2.3.1996,,31.8.1998,retired,LIB
"Nairn, Gary Roy",Eden-Monaro,NSW,2.3.1996,, ,current_member,LIB
"Nehl, Garry Barr",Cowper,NSW,1.12.1984,,8.10.2001,retired,NPA
"Neil, Maurice James",St George,NSW,13.12.1975,,18.10.1980,defeated,LIB
"Nelson, Brendan John",Bradfield,NSW,2.3.1996,, ,current_member,LIB
"Neville, Paul Christopher",Hinkler,Qld,13.3.1993,, ,current_member,NP
"Newell, Neville Joseph",Richmond,NSW,24.3.1990,,2.3.1996,defeated,ALP
"Newman, Kevin Eugene",Bass,Tas.,28.6.1975,by_election,26.10.1984,retired,LIB
"Nixon, Peter James",Gippsland,Vic.,9.12.1961,,4.2.1983,retired,NPA
"Nugent, Peter Edward",Aston,Vic.,24.3.1990,,24.4.2001,died,LIB
"OÕByrne, Michelle Anne",Bass,Tas.,3.10.1998,,9.10.2004,defeated,ALP
"OÕConnor, Brendan Patrick",Burke,Vic.,10.11.2001,,Until elected for Gorton,elected_elsewhere,ALP
,Gorton,Vic.,9.10.2004,, ,current_member,ALP
"OÕConnor, Gavan Michael",Corio,Vic.,13.3.1993,, ,current_member,ALP
"OÕKeefe, Frank Lionel",Paterson,NSW,25.10.1969,,26.10.1984,retired,NPA
"OÕKeefe, Neil Patrick",Burke,Vic.,1.12.1984,,8.10.2001,retired,ALP
"OÕNeil, Lloyd Reginald Terrence",Grey,SA,5.3.1983,,8.2.1993,retired,ALP
"Organ, Michael Keith",Cunningham,NSW,19.10.2002,by_election,9.10.2004,defeated,GRN
"Owens, Julie Ann",Parramatta,NSW,9.10.2004,, ,current_member,ALP
"Panopoulos, Sophie",Indi,Vic.,10.11.2001,, ,current_member,LIB
"Peacock, Andrew Sharp",Kooyong,Vic.,2.4.1966,by_election,17.9.1994,resigned,LIB
"Pearce, Christopher John",Aston,Vic.,14.7.2001,by_election, ,current_member,LIB
"Plibersek, Tanya Joan",Sydney,NSW,3.10.1998,, ,current_member,ALP
"Pollard, Reginald Thomas",Ballaarat,Vic.,23.10.1937,,Until elected for Lalor,elected_elsewhere,ALP
,Lalor,Vic.,10.12.1949,,26.11.1966,defeated,ALP
"Porter, James Robert",Barker,SA,13.12.1975,,19.2.1990,retired,LIB
"Pratt, Michael Philip",Adelaide,SA,6.2.1988,by_election,24.3.1990,defeated,LIB
"Price, Leo Roger Spurway",Chifley,NSW,1.12.1984,, ,current_member,ALP
"Prosser, Geoffrey Daniel",Forrest,WA,11.7.1987,,17.10.2007,retired,LIB
"Punch, Gary Francis",Barton,NSW,5.3.1983,,29.1.1996,retired,ALP
"Pyne, Christopher Maurice",Sturt,SA,13.3.1993,, ,current_member,LIB
"Quick, Harry Vernon",Franklin,Tas.,13.3.1993,,17.10.2007,retired,IND
"Randall, Donald James",Swan,WA,2.3.1996,,3.10.1998,defeated,LIB
,Canning,WA,10.11.2001,, ,current_member,LIB
"Reeves, John Edward",Northern Territory,NT,5.3.1983,,1.12.1984,defeated,ALP
"Reid, Nicholas Bruce",Bendigo,Vic.,24.3.1990,,31.8.1998,retired,LIB
"Reith, Peter Keaston",Flinders,Vic.,4.12.1982,by_election,5.3.1983¤,defeated,LIB
,Flinders,Vic.,1.12.1984,,8.10.2001,retired,LIB
"Richardson, Kym Charles",Kingston,SA,9.10.2004,, ,current_member,LIB
"Riggall, John Peter",McMillan,Vic.,24.3.1990,,13.3.1993,defeated,LIB
"Ripoll, Bernard Fernando",Oxley,Qld,3.10.1998,, ,current_member,ALP
"Robb, Andrew John",Goldstein,Vic.,9.10.2004,, ,current_member,LIB
"Robinson, Eric Laidlaw",McPherson,Qld,2.12.1972,,7.1.1981,died,LIB
"Robinson, Ian Louis",Cowper,NSW,30.11.1963,,Until elected for Page,elected_elsewhere,NPA
,Page,NSW,1.12.1984,,24.3.1990,defeated,NPA
"Rocher, Allan Charles",Curtin,WA,21.2.1981,by_election,3.10.1998,defeated,IND
"Ronaldson, Michael John Clyde",Ballarat,Vic.,24.3.1990,,8.10.2001,retired,LIB
"Roxon, Nicola Louise",Gellibrand,Vic.,3.10.1998,, ,current_member,ALP
"Rudd, Kevin Michael",Griffith,Qld,3.10.1998,, ,current_member,ALP
"Ruddock, Philip Maxwell",Parramatta,NSW,22.9.1973,by_election,Until elected for Dundas,elected_elsewhere,LIB
,Dundas,NSW,13.12.1975,,Until elected for Berowra,elected_elsewhere,LIB
,Berowra,NSW,13.3.1993,, ,current_member,LIB
"Sainsbury, Murray Evan",Eden-Monaro,NSW,13.12.1975,,5.3.1983,defeated,LIB
"St Clair, Stuart Roy",New England,NSW,3.10.1998,,10.11.2001,defeated,NPA
"Saunderson, John",Deakin,Vic.,5.3.1983,,Until elected for Aston,elected_elsewhere,ALP
,Aston,Vic.,1.12.1984,,24.3.1990,defeated,ALP
"Sawford, Rodney Weston",Port Adelaide,SA,26.3.1988,by_election,17.10.2007,retired,ALP
"Scholes, Gordon Glen Denton",Corio,Vic.,22.7.1967,by_election,8.2.1993,retired,ALP
"Schultz, Albert John",Hume,NSW,3.10.1998,, ,current_member,LIB
"Sciacca, Concetto Antonio",Bowman,Qld,11.7.1987,,2.3.1996,defeated,ALP
,Bowman,Qld,3.10.1998,,9.10.2004,defeated,ALP
"Scott, Bruce Craig",Maranoa,Qld,24.3.1990,, ,current_member,NP
"Scott, John Lyden",Hindmarsh,SA,18.10.1980,,8.2.1993,retired,ALP
"Scott, Leslie James",Oxley,Qld,8.10.1988,by_election,2.3.1996,defeated,ALP
"Secker, Patrick Damien",Barker,SA,3.10.1998,, ,current_member,LIB
"Sercombe, Robert Charles Grant",Maribyrnong,Vic.,2.3.1996,,17.10.2007,retired,ALP
"Shack, Peter Donald",Tangney,WA,10.12.1977,,5.3.1983,defeated,LIB
,Tangney,WA,1.12.1984,,8.2.1993,retired,LIB
"Sharp, John Randall",Gilmore,NSW,1.12.1984,,Until elected for Hume,elected_elsewhere,NPA
,Hume,NSW,13.3.1993,,31.8.1998,retired,NPA
"Shaw, George William",Dawson,Qld,30.11.1963,,9.1.1966,died,CP
"Shipton, Roger Francis",Higgins,Vic.,13.12.1975,,19.2.1990,retired,LIB
"Short, James Robert",Ballaarat ,Vic.,13.12.1975,,18.10.1980,defeated,LIB
"Short, Leonie Marjorie",Ryan,Qld,17.3.2001,by_election,10.11.2001,defeated,ALP
"Sidebottom, Peter Sid",Braddon,Tas.,3.10.1998,,9.10.2004,defeated,ALP
"Simmons, David William",Calare,NSW,5.3.1983,,29.1.1996,retired,ALP
"Simon, Barry Douglas",McMillan,Vic.,13.12.1975,,18.10.1980,defeated,LIB
"Sinclair, Ian McCahon",New England,NSW,30.11.1963,,31.8.1998,retired,NPA
"Slipper, Peter Neil",Fisher,Qld,1.12.1984,,11.7.1987,defeated,NPA
,Fisher,Qld,13.3.1993,, ,current_member,LIB
"Smith, Anthony Charles",Dickson,Qld,2.3.1996,,3.10.1998,defeated,IND
"Smith, Anthony David Hawthorn",Casey,Vic.,10.11.2001,, ,current_member,LIB
"Smith, Silvia Joy",Bass,Tas.,13.3.1993,,2.3.1996,defeated,ALP
"Smith, Stephen Francis",Perth,WA,13.3.1993,, ,current_member,ALP
"Smith, Warwick Leslie",Bass,Tas.,1.12.1984,,13.3.1993,defeated,LIB
,Bass,Tas.,2.3.1996,,3.10.1998,defeated,LIB
"Smyth, Brendan Michael",Canberra,ACT,25.3.1995,by_election,2.3.1996,defeated,LIB
"Snedden, Billy Mackie (later Sir Billy)",Bruce,Vic.,10.12.1955,,21.4.1983,resigned,LIB
"Snow, James Henry",Eden-Monaro,NSW,5.3.1983,,2.3.1996,defeated,ALP
"Snowdon, Warren Edward",Northern Territory,NT,11.7.1987,,2.3.1996,defeated,ALP
,Northern Territory,NT,3.10.1998,,Until elected for Lingiari,elected_elsewhere,ALP
,Lingiari,NT,10.11.2001,, ,current_member,ALP
"Somlyay, Alexander Michael",Fairfax,Qld,24.3.1990,, ,current_member,LIB
"Southcott, Andrew John",Boothby,SA,2.3.1996,, ,current_member,LIB
"Spender, John Michael",North Sydney,NSW,18.10.1980,,24.3.1990,defeated,LIB
"Staley, Anthony Allan",Chisholm,Vic.,19.9.1970,by_election,19.9.1980,retired,LIB
"Staples, Peter Richard",Diamond Valley,Vic.,5.3.1983,,Until elected for Jagajaga,elected_elsewhere,ALP
,Jagajaga,Vic.,1.12.1984,,29.1.1996,retired,ALP
"Steedman, Alan Peter",Casey,Vic.,5.3.1983,,1.12.1984,defeated,ALP
"Stone, Sharman Nancy",Murray,Vic.,2.3.1996,, ,current_member,LIB
"Street, Anthony Austin",Corangamite,Vic.,26.11.1966,,18.1.1984,resigned,LIB
"Sullivan, Kathryn Jean Martin (formerly Martin, Kathryn Jean)",Moncrieff,Qld,1.12.1984,,8.10.2001,retired,LIB
"Swan, Wayne Maxwell",Lilley,Qld,13.3.1993,,2.3.1996,defeated,ALP
,Lilley,Qld,3.10.1998,, ,current_member,ALP
"Tambling, Grant Ernest John",Northern Territory,NT,18.10.1980,,5.3.1983,defeated,NPA
"Tanner, Lindsay James",Melbourne,Vic.,13.3.1993,, ,current_member,ALP
"Taylor, William Leonard",Groom,Qld,9.4.1988,by_election,31.8.1998,retired,LIB
"Theophanous, Andrew Charles",Burke,Vic.,18.10.1980,,Until elected for Calwell,elected_elsewhere,ALP
,Calwell,Vic.,1.12.1984,,10.11.2001,defeated,IND
"Thompson, Cameron Paul",Blair,Qld,3.10.1998,, ,current_member,LIB
"Thomson, Andrew Peter",Wentworth,NSW,8.4.1995,by_election,8.10.2001,retired,LIB
"Thomson, David Scott",Leichhardt,Qld,13.12.1975,,5.3.1983,defeated,NPA
"Thomson, Kelvin John",Wills,Vic.,2.3.1996,, ,current_member,ALP
"Ticehurst, Kenneth Vincent",Dobell,NSW,10.11.2001,, ,current_member,LIB
"Tickner, Robert Edward",Hughes,NSW,18.2.1984,by_election,2.3.1996,defeated,ALP
"Tollner, David William",Lingiari,NT,10.11.2001,, ,current_member,CLP
"Truss, Warren Errol",Wide Bay,Qld,24.3.1990,, ,current_member,NP
"Tuckey, Charles Wilson",OÕConnor,WA,18.10.1980,, ,current_member,LIB
"Turnbull, Malcolm Bligh",Wentworth,NSW,9.10.2004,, ,current_member,LIB
"Uren, Thomas",Reid,NSW,22.11.1958,,19.2.1990,retired,ALP
"Vaile, Mark Anthony James",Lyne,NSW,13.3.1993,, ,current_member,NP
"Vale, Danna Sue",Hughes,NSW,2.3.1996,, ,current_member,LIB
"Vamvakinou, Maria",Calwell,Vic.,10.11.2001,, ,current_member,ALP
"Vasta, Ross Xavier",Bonner,Qld,9.10.2004,, ,current_member,LIB
"Viner, Robert Ian",Stirling,WA,2.12.1972,,5.3.1983,defeated,LIB
"Wakelin, Barry Hugh",Grey,SA,13.3.1993,,17.10.2007,retired,LIB
"Walker, Francis John",Robertson,NSW,24.3.1990,,2.3.1996,defeated,ALP
"Wallis, Laurie George",Grey,SA,25.10.1969,,4.2.1983,retired,ALP
"Washer, Malcolm James",Moore,WA,3.10.1998,, ,current_member,LIB
"Watson, David John Hopetoun",Forde,Qld,1.12.1984,,11.7.1987,defeated,LIB
"Webster, Alasdair Paine",Macquarie,NSW,1.12.1984,,13.3.1993,defeated,LIB
"Wells, Deane McMillan",Petrie,Qld,5.3.1983,,1.12.1984,defeated,ALP
"West, Andrea Gail",Bowman,Qld,2.3.1996,,3.10.1998,defeated,LIB
"West, Stewart John",Cunningham,NSW,15.10.1977,by_election,8.2.1993,retired,ALP
"White, Peter Nicholson Duckett",McPherson,Qld,21.2.1981,by_election,19.2.1990,retired,LIB
"Wilkie, Kim",Swan,WA,3.10.1998,, ,current_member,ALP
"Williams, Daryl Robert",Tangney,WA,13.3.1993,,31.8.2004,retired,LIB
"Willis, Ralph",Gellibrand,Vic.,2.12.1972,,31.8.1998,retired,ALP
,Sturt,SA,2.12.1972,,8.2.1993,retired,LIB
"Wilton, Gregory Stuart",Isaacs,Vic.,2.3.1996,,14.6.2000,died,ALP
"Windsor, Antony Harold Curties",New England,NSW,10.11.2001,, ,current_member,IND
"Wood, Jason Peter",La Trobe,Vic.,9.10.2004,, ,current_member,LIB
"Woods, Harry Francis",Page,NSW,24.3.1990,,2.3.1996,defeated,ALP
"Woods, Robert Leslie",Lowe,NSW,11.7.1987,,13.3.1993,defeated,LIB
"Wooldridge, Michael Richard Lewis",Chisholm,Vic.,11.7.1987,,Until elected for Casey,elected_elsewhere,LIB
,Casey,Vic.,3.10.1998,,8.10.2001,retired,LIB
"Worth, Patricia Mary",Adelaide,SA,13.3.1993,,9.10.2004,defeated,LIB
"Wright, Keith Webb",Capricornia,Qld,1.12.1984,,13.3.1993,defeated,IND
"Yates, William",Holt,Vic.,13.12.1975,,18.10.1980,defeated,LIB
"Young, Michael Jerome",Port Adelaide,SA,18.5.1974,,8.2.1988,resigned,ALP
"Zahra, Christian John",McMillan,Vic.,3.10.1998,,9.10.2004,defeated,ALP
"Zammit, Paul John",Lowe,NSW,2.3.1996,,3.10.1998,defeated,IND