"Name","From","To","Ministers"
"The Hon Craig Emerson MP",14/09/2010,05/03/2012,"Minister for Trade"
"The Hon Danna Vale",26/11/2001,07/10/2003,"Minister Assisting the Minister for Defence"
"The Hon Danna Vale",26/11/2001,21/10/2004,"Minister for Veterans' Affairs"
"The Hon Daryl Williams",11/03/1996,07/10/2003,"Attorney-General"
"The Hon Daryl Williams",11/03/1996,09/10/1997,"Minister for Justice"
"The Hon Daryl Williams",07/10/2003,18/07/2004,"Minister for Communications, Information Technology and the Arts"
"The Hon David Bradbury MP",14/09/2010,05/03/2012,"Parliamentary Secretary to the Treasurer"
"The Hon David Bradbury MP",05/03/2012,18/09/2013,"Assistant Treasurer "
"The Hon David Bradbury MP",05/03/2012,01/07/2013,"Minister Assisting for Deregulation"
"The Hon David Bradbury MP",01/07/2013,18/09/2013,"Minister for Competition Policy and Consumer Affairs, Deregulation, Financial Services and Superannuation"
"The Hon David Jull",11/03/1996,25/09/1997,"Minister for Administrative Services"
"The Hon De-Anne Kelly MP",07/10/2003,21/10/2004,"Parliamentary Secretary to the Minister for Trade"
"The Hon De-Anne Kelly MP",07/10/2003,21/10/2004,"Parliamentary Secretary to the Minister for Transport and Regional Services"
"The Hon De-Anne Kelly MP",22/10/2004,27/01/2006,"Minister for Veterans' Affairs and Minister Assisting the Minister for Defence"
"The Hon De-Anne Kelly MP",27/01/2006,29/09/2006,"Parliamentary Secretary Trade"
"The Hon De-Anne Kelly MP",29/09/2006,03/12/2007,"Parliamentary Secretary to the Minister for Transport and Regional Services"
"The Hon Dr Brendan Nelson MP",30/01/2001,26/11/2001,"Parliamentary Secretary to the Minister for Defence"
"The Hon Dr Brendan Nelson MP",26/11/2001,27/01/2006,"Minister for Education, Science and Training"
"The Hon Dr Brendan Nelson MP",27/01/2006,03/12/2007,"Minister for Defence"
"The Hon Dr Craig Emerson MP",03/03/2011,05/03/2012,"Minister for Trade"
"The Hon Dr Craig Emerson MP",05/03/2012,26/06/2013,"Minister for Trade and Competitiveness"
"The Hon Dr Craig Emerson MP",28/10/2012,26/06/2013,"Minister Assisting the Prime Minister on Asian Century Policy"
"The Hon Dr Craig Emerson MP",25/03/2013,26/06/2013,"Minister for Tertiary Education, Skills, Science and Research."
"The Hon Dr David Kemp",11/03/1996,09/10/1997,"Minister Assisting the Minister for Finance for Privatisation"
"The Hon Dr David Kemp",11/03/1996,09/10/1997,"Minister for Schools, Vocational Education and Training"
"The Hon Dr David Kemp",09/10/1997,26/11/2001,"Minister Assisting the Prime Minister for the Public Service"
"The Hon Dr David Kemp",09/10/1997,21/10/1998,"Minister for Employment, Education, Training and Youth Affairs"
"The Hon Dr David Kemp",21/10/1998,26/11/2001,"Minister for Education, Training and Youth Affairs"
"The Hon Dr David Kemp",21/10/1998,18/07/2004,"Vice-President of the Executive Council"
"The Hon Dr David Kemp",26/11/2001,18/07/2004,"Minister for the Environment and Heritage"
"The Hon Dr Michael Wooldridge",11/03/1996,21/10/1998,"Minister for Health and Family Services"
"The Hon Dr Michael Wooldridge",21/10/1998,26/11/2001,"Minister for Health and Aged Care"
"The Hon Dr Sharman Stone MP",30/01/2001,21/10/2004,"Parliamentary Secretary to the Minister for the Environment and Heritage"
"The Hon Dr Sharman Stone MP",22/10/2004,27/01/2006,"Parliamentary Secretary to the Minister for Finance and Administration"
"The Hon Dr Sharman Stone MP",27/01/2006,03/12/2007,"Minister for Workforce Participation"
"The Hon Duncan Kerr MP",03/12/2007,14/12/2009,"Parliamentary Secretary for Pacific Island Affairs"
"The Hon Fran Bailey MP",26/11/2001,18/07/2004,"Parliamentary Secretary to the Minister for Defence"
"The Hon Fran Bailey MP",18/07/2004,21/10/2004,"Minister Assisting the Minister for Defence"
"The Hon Fran Bailey MP",18/07/2004,21/10/2004,"Minister for Employment Services"
"The Hon Fran Bailey MP",22/10/2004,03/12/2007,"Minister for Small Business and Tourism"
"The Hon Gary Gray AO MP",03/12/2007,09/06/2009,"Parliamentary Secretary for Regional Development and Northern Australia"
"The Hon Gary Gray AO MP",09/06/2009,14/09/2010,"Parliamentary Secretary for Western and Northern Australia"
"The Hon Gary Gray AO MP",14/09/2010,25/03/2013,"Minister for the Public Service and Integrity"
"The Hon Gary Gray AO MP",14/09/2010,25/03/2013,"Special Minister of State"
"The Hon Gary Gray AO MP",25/03/2013,18/09/2013,"Minister for Resources and Energy"
"The Hon Gary Gray AO MP",25/03/2013,18/09/2013,"Minister for Small Business"
"The Hon Gary Gray AO MP",25/03/2013,18/09/2013,"Minister for Tourism"
"The Hon Gary Hardgrave MP",26/11/2001,21/10/2004,"Minister for Citizenship and Multicultural Affairs"
"The Hon Gary Hardgrave MP",07/10/2003,30/01/2007,"Minister Assisting the Prime Minister"
"The Hon Gary Hardgrave MP",22/10/2004,30/01/2007,"Minister for Vocational and Technical Education"
"The Hon Gary Nairn MP",22/10/2004,27/01/2006,"Parliamentary Secretary to the Prime Minister"
"The Hon Gary Nairn MP",27/01/2006,03/12/2007,"Special Minister of State"
"The Hon Geoff Prosser",11/03/1996,11/07/1997,"Minister for Small Business and Consumer Affairs"
"The Hon Greg Combet AM MP",03/12/2007,25/02/2009,"Parliamentary Secretary for Defence Procurement"
"The Hon Greg Combet AM MP",25/02/2009,09/06/2009,"Parliamentary Secretary for Climate Change"
"The Hon Greg Combet AM MP",09/06/2009,14/09/2010,"Minister Assisting the Minister for Climate Change"
"The Hon Greg Combet AM MP",09/06/2009,14/09/2010,"Minister for Defence Personnel, Materiel and Science"
"The Hon Greg Combet AM MP",14/09/2010,25/03/2013,"Minister for Climate Change and Energy Efficiency"
"The Hon Greg Combet AM MP",14/12/2011,25/03/2013,"Minister for Industry and Innovation"
"The Hon Greg Combet AM MP",25/03/2013,26/06/2013,"Minister for Climate Change, Industry and Innovation"
"The Hon Greg Hunt MP",22/10/2004,30/01/2007,"Parliamentary Secretary to the Minister for the Environment and Heritage"
"The Hon Greg Hunt MP",30/01/2007,03/12/2007,"Parliamentary Secretary to the Minister for Foreign Affairs"
"The Hon Ian Macfarlane MP",30/01/2001,26/11/2001,"Minister for Small Business"
"The Hon Ian Macfarlane MP",26/11/2001,03/12/2007,"Minister for Industry, Tourism and Resources"
"The Hon Ian McLachlan",11/03/1996,21/10/1998,"Minister for Defence"
"The Hon Jackie Kelly",21/10/1998,30/01/2001,"Minister Assisting the Prime Minister for the Sydney 2000 Games"
"The Hon Jackie Kelly",21/10/1998,26/11/2001,"Minister for Sport and Tourism"
"The Hon Jackie Kelly",26/11/2001,21/10/2004,"Parliamentary Secretary to the Prime Minister"
"The Hon Jason Clare MP",09/06/2009,14/09/2010,"Parliamentary Secretary for Employment"
"The Hon Jason Clare MP",14/09/2010,14/12/2011,"Minister for Defence Materiel"
"The Hon Jason Clare MP",14/12/2011,18/09/2013,"Minister for Home Affairs "
"The Hon Jason Clare MP",14/12/2011,18/09/2013,"Minister for Justice"
"The Hon Jason Clare MP",05/03/2012,04/02/2013,"Minister for Defence Materiel"
"The Hon Jason Clare MP",04/02/2013,18/09/2013,"Cabinet Secretary"
"The Hon Jenny Macklin MP",03/12/2007,14/12/2011,"Minister for Families, Housing, Community Services and Indigenous Affairs"
"The Hon Jenny Macklin MP",14/12/2011,18/09/2013,"Minister for Disability Reform"
"The Hon Jenny Macklin MP",14/12/2011,18/09/2013,"Minister for Families, Community Services and Indigenous Affairs"
"The Hon Jim Lloyd MP",18/07/2004,03/12/2007,"Minister for Local Government, Territories and Roads"
"The Hon Joe Hockey MP",21/10/1998,26/11/2001,"Minister for Financial Services and Regulation"
"The Hon Joe Hockey MP",26/11/2001,21/10/2004,"Minister for Small Business and Tourism"
"The Hon Joe Hockey MP",22/10/2004,30/01/2007,"Minister for Human Services"
"The Hon Joe Hockey MP",10/08/2006,30/01/2007,"Minister Assisting the Minister for Workplace Relations"
"The Hon Joe Hockey MP",30/01/2007,03/12/2007,"Minister Assisting the Prime Minister for the Public Service"
"The Hon Joe Hockey MP",30/01/2007,03/12/2007,"Minister for Employment and Workplace Relations"
"The Hon Joel Fitzgibbon MP",03/12/2007,09/06/2009,"Minister for Defence"
"The Hon Joel Fitzgibbon MP",01/07/2013,18/09/2013,"Minister for Agriculture, Fisheries and Forestry"
"The Hon John Anderson",11/03/1996,21/10/1998,"Minister for Primary Industries and Energy"
"The Hon John Anderson",25/09/1997,09/10/1997,"Acting Minister for Transport and Regional Development"
"The Hon John Anderson",21/10/1998,06/07/2005,"Minister for Transport and Regional Services"
"The Hon John Anderson",20/07/1999,06/07/2005,"Deputy Prime Minister"
"The Hon John Cobb MP",22/10/2004,06/07/2005,"Parliamentary Secretary to the Minister for Transport and Regional Services"
"The Hon John Cobb MP",06/07/2005,27/01/2006,"Minister for Citizenship and Multicultural Affairs "
"The Hon John Cobb MP",27/01/2006,30/01/2007,"Minister for Community Services"
"The Hon John Cobb MP",30/01/2007,03/12/2007,"Assistant Minister for the Environment and Water Resources "
"The Hon John Fahey",11/03/1996,09/10/1997,"Minister for Finance"
"The Hon John Fahey",09/10/1997,26/11/2001,"Minister for Finance and Administration"
"The Hon John Howard MP",11/03/1996,03/12/2007,"Prime Minister"
"The Hon John Moore",11/03/1996,13/10/1996,"Minister for Foreign Affairs"
"The Hon John Moore",11/03/1996,21/10/1998,"Minister for Industry, Science and Tourism"
"The Hon John Moore",11/03/1996,21/10/1998,"Vice President of the Executive Council"
"The Hon John Moore",21/10/1998,30/01/2001,"Minister for Defence"
"The Hon John Murphy MP",03/12/2007,25/02/2009,"Parliamentary Secretary to the Minister for Trade"
"The Hon John Sharp",11/03/1996,25/09/1997,"Minister for Transport and Regional Development"
"The Hon Judi Moylan",11/03/1996,09/10/1997,"Minister for Family Services"
"The Hon Judi Moylan",09/10/1997,21/10/1998,"Minister for the Status of Women"
"The Hon Julia Gillard MP",03/12/2007,24/06/2010,"Deputy Prime Minister"
"The Hon Julia Gillard MP",03/12/2007,24/06/2010,"Minister for Education"
"The Hon Julia Gillard MP",03/12/2007,24/06/2010,"Minister for Employment and Workplace Relations"
"The Hon Julia Gillard MP",03/12/2007,24/06/2010,"Minister for Social Inclusion"
"The Hon Julia Gillard MP",24/06/2010,27/06/2013,"Prime Minister"
"The Hon Julie Bishop MP",07/10/2003,27/01/2006,"Minister for Ageing"
"The Hon Julie Bishop MP",27/01/2006,03/12/2007,"Minister Assisting the Prime Minister for Women's Issues"
"The Hon Julie Bishop MP",27/01/2006,03/12/2007,"Minister for Education, Science and Training"
"The Hon Julie Collins MP",14/09/2010,14/12/2011,"Parliamentary Secretary for Community Services"
"The Hon Julie Collins MP",14/12/2011,18/09/2013,"Minister for Community Services "
"The Hon Julie Collins MP",14/12/2011,18/09/2013,"Minister for Indigenous Employment and Economic Development "
"The Hon Julie Collins MP",14/12/2011,18/09/2013,"Minister for the Status of Women"
"The Hon Julie Collins MP",01/07/2013,18/09/2013,"Minister for Housing and Homelessness"
"The Hon Justine Elliot MP",03/12/2007,14/09/2010,"Minister for Ageing"
"The Hon Justine Elliot MP",14/09/2010,04/02/2013,"Parliamentary Secretary for Trade"
"The Hon Kate Ellis MP",03/12/2007,09/06/2009,"Minister for Youth and Sport"
"The Hon Kate Ellis MP",09/06/2009,14/09/2010,"Minister for Early Childhood Education, Childcare and Youth"
"The Hon Kate Ellis MP",09/06/2009,14/09/2010,"Minister for Sport"
"The Hon Kate Ellis MP",14/09/2010,14/12/2011,"Minister for Employment Participation and Childcare"
"The Hon Kate Ellis MP",14/09/2010,14/12/2011,"Minister for the Status of Women"
"The Hon Kate Ellis MP",14/12/2011,01/07/2013,"Minister for Early Childhood and Childcare"
"The Hon Kate Ellis MP",01/07/2013,18/09/2013,"Minister for Early Childhood, Childcare and Youth"
"The Hon Kate Ellis MP",14/12/2011,18/09/2013,"Minister for Employment Participation"
"The Hon Kathy Sullivan",09/10/1997,21/10/1998,"Parliamentary Secretary to the Minister for Foreign Affairs"
"The Hon Kathy Sullivan",21/10/1998,20/07/1999,"Parliamentary Secretary Foreign Affairs"
"The Hon Kathy Sullivan",20/07/1999,16/02/2000,"Parliamentary Secretary to the Minister for Foreign Affairs"
"The Hon Kelvin Thomson MP",04/02/2013,18/09/2013,"Parliamentary Secretary for Trade"
"The Hon Kevin Andrews MP",26/11/2001,07/10/2003,"Minister for Ageing"
"The Hon Kevin Andrews MP",07/10/2003,30/01/2007,"Minister Assisting the Prime Minister for the Public Service"
"The Hon Kevin Andrews MP",07/10/2003,30/01/2007,"Minister for Employment and Workplace Relations"
"The Hon Kevin Andrews MP",30/01/2007,03/12/2007,"Minister for Immigration and Citizenship"
"The Hon Kevin Rudd MP",03/12/2007,24/06/2010,"Prime Minister"
"The Hon Kevin Rudd MP",27/06/2013,18/09/2013,"Prime Minister"
"The Hon Kevin Rudd MP",14/09/2010,13/03/2012,"Minister for Foreign Affairs"
"The Hon Larry Anthony",21/10/1998,20/07/1999,"Parliamentary Secretary Trade"
"The Hon Larry Anthony",20/07/1999,26/11/2001,"Minister for Community Services"
"The Hon Larry Anthony",26/11/2001,21/10/2004,"Minister for Children and Youth Affairs"
"The Hon Laurie Ferguson MP",03/12/2007,14/09/2010,"Parliamentary Secretary for Multicultural Affairs and Settlement Services"
"The Hon Lindsay Tanner MP",03/12/2007,03/09/2010,"Minister for Finance and Deregulation"
"The Hon Mal Brough MP",16/02/2000,30/01/2001,"Parliamentary Secretary to the Minister for Employment, Workplace Relations and Small Business"
"The Hon Mal Brough MP",14/02/2001,18/07/2004,"Minister for Employment Services"
"The Hon Mal Brough MP",07/10/2003,18/07/2004,"Minister Assisting the Minister for Defence"
"The Hon Mal Brough MP",18/07/2004,27/01/2006,"Minister for Revenue and Assistant Treasurer"
"The Hon Mal Brough MP",27/01/2006,03/12/2007,"Minister Assisting the Prime Minister for Indigenous Affairs"
"The Hon Mal Brough MP",27/01/2006,03/12/2007,"Minister for Families, Community Services and Indigenous Affairs"
The Hon Mal Brough MP,21/09/2015,18/02/2016,Special Minister of State
The Hon Mal Brough MP,21/09/2015,18/02/2016,Minister for Defence Materiel and Science
"The Hon Malcolm Turnbull MP",27/01/2006,30/01/2007,"Parliamentary Secretary to the Prime Minister"
"The Hon Malcolm Turnbull MP",30/01/2007,03/12/2007,"Minister for the Environment and Water Resources"
"The Hon Mark Butler MP",09/06/2009,14/09/2010,"Parliamentary Secretary for Health"
"The Hon Mark Butler MP",14/09/2010,01/07/2013,"Minister for Mental Health and Ageing"
"The Hon Mark Butler MP",12/09/2011,01/07/2013,"Minister Assisting the Prime Minister on Mental Health Reform"
"The Hon Mark Butler MP",14/12/2011,01/07/2013,"Minister for Social Inclusion"
"The Hon Mark Butler MP",04/02/2013,01/07/2013,"Minister for Housing and Homelessness"
"The Hon Mark Butler MP",01/07/2013,18/09/2013,"Minister for Climate Change, Environment, Heritage and Water"
"The Hon Mark Dreyfus QC MP",14/09/2010,04/02/2013,"Cabinet Secretary"
"The Hon Mark Dreyfus QC MP",14/09/2010,04/02/2013,"Parliamentary Secretary for Climate Change and Energy Efficiency"
"The Hon Mark Dreyfus QC MP",14/12/2011,04/02/2013,"Parliamentary Secretary for Industry and Innovation"
"The Hon Mark Dreyfus QC MP",04/02/2013,18/09/2013,"Attorney-General"
"The Hon Mark Dreyfus QC MP",04/02/2013,18/09/2013,"Minister for Emergency Management"
"The Hon Mark Dreyfus QC MP",25/03/2013,18/09/2013,"Minister for the Public Service and Integrity"
"The Hon Mark Dreyfus QC MP",25/03/2013,18/09/2013,"Special Minister of State"
"The Hon Mark Vaile MP",09/10/1997,21/10/1998,"Minister for Transport and Regional Development"
"The Hon Mark Vaile MP",21/10/1998,20/07/1999,"Minister for Agriculture, Fisheries and Forestry"
"The Hon Mark Vaile MP",20/07/1999,29/09/2006,"Minister for Trade"
"The Hon Mark Vaile MP",06/07/2005,03/12/2007,"Deputy Prime Minister"
"The Hon Mark Vaile MP",29/09/2006,03/12/2007,"Minister for Transport and Regional Services"
"The Hon Martin Ferguson MP",03/12/2007,25/03/2013,"Minister for Resources and Energy"
"The Hon Martin Ferguson MP",03/12/2007,25/03/2013,"Minister for Tourism"
"The Hon Maxine McKew MP",03/12/2007,09/06/2009,"Parliamentary Secretary for Early Childhood Education and Child Care"
"The Hon Maxine McKew MP",09/06/2009,21/08/2010,"Parliamentary Secretary for Infrastructure, Transport, Regional Development and Local Government"
"The Hon Melissa Parke",04/02/2013,01/07/2013,"Parliamentary Secretary for Mental Health, Homelessness and Social Housing"
"The Hon Melissa Parke",01/07/2013,18/09/2013,"Minister for International Development"
"The Hon Michael Danby MP",25/03/2013,18/09/2013,"Parliamentary Secretary for Arts"
"The Hon Michael Ronaldson",13/10/1996,21/10/1998,"Parliamentary Secretary to the Minister for Transport and Regional Development"
"The Hon Mike Kelly AM MP",03/12/2007,14/09/2010,"Parliamentary Secretary for Defence Support"
"The Hon Mike Kelly AM MP",25/02/2009,14/09/2010,"Parliamentary Secretary for Water"
"The Hon Mike Kelly AM MP",14/09/2010,14/12/2011,"Parliamentary Secretary for Agriculture, Fisheries and Forestry"
"The Hon Mike Kelly AM MP",14/12/2011,04/02/2013,"Parliamentary Secretary for Defence"
"The Hon Mike Kelly AM MP",04/02/2013,18/09/2013,"Minister for Defence Materiel"
"The Hon Nicola Roxon MP",03/12/2007,14/12/2011,"Minister for Health and Ageing"
"The Hon Nicola Roxon MP",14/12/2011,04/02/2013,"Attorney-General"
"The Hon Nicola Roxon MP",05/03/2012,04/02/2013,"Minister for Emergency Management"
"The Hon Pat Farmer MP",22/10/2004,03/12/2007,"Parliamentary Secretary to the Minister for Education, Science and Training"
"The Hon Peter Costello MP",11/03/1996,03/12/2007,"Treasurer"
"The Hon Peter Dutton MP",22/10/2004,27/01/2006,"Minister for Workforce Participation"
"The Hon Peter Dutton MP",27/01/2006,03/12/2007,"Minister for Revenue and Assistant Treasurer"
"The Hon Peter Garrett AM MP",03/12/2007,14/09/2010,"Minister for the Environment, Heritage and the Arts"
"The Hon Peter Garrett AM MP",14/09/2010,26/06/2013,"Minister for School Education, Early Childhood and Youth"
"The Hon Peter Lindsay MP",30/01/2007,03/12/2007,"Parliamentary Secretary to the Minister for Defence"
"The Hon Peter McGauran MP",11/03/1996,26/09/1997,"Deputy Leader of the House"
"The Hon Peter McGauran MP",11/03/1996,26/09/1997,"Minister for Science and Technology"
"The Hon Peter McGauran MP",21/10/1998,03/12/2007,"Deputy Leader of the House"
"The Hon Peter McGauran MP",21/10/1998,26/11/2001,"Minister for the Arts and the Centenary of Federation"
"The Hon Peter McGauran MP",26/11/2001,21/10/2004,"Minister for Science"
"The Hon Peter McGauran MP",22/10/2004,06/07/2005,"Minister for Citizenship and Multicultural Affairs"
"The Hon Peter McGauran MP",06/07/2005,03/12/2007,"Minister for Agriculture, Fisheries and Forestry"
"The Hon Peter Reith",11/03/1996,26/11/2001,"Leader of the House"
"The Hon Peter Reith",11/03/1996,11/07/1997,"Minister Assisting the Prime Minister for the Public Service"
"The Hon Peter Reith",11/03/1996,11/07/1997,"Minister for Industrial Relations"
"The Hon Peter Reith",11/07/1997,21/10/1998,"Minister for Workplace Relations and Small Business"
"The Hon Peter Reith",21/10/1998,30/01/2001,"Minister for Employment, Workplace Relations and Small Business"
"The Hon Peter Reith",30/01/2001,26/11/2001,"Minister for Defence"
"The Hon Peter Slipper",21/10/1998,21/10/2004,"Parliamentary Secretary to the Minister for Finance and Administration"
"The Hon Peter Slipper",26/11/2001,25/01/2002,"Parliamentary Secretary to Cabinet"
"The Hon Philip Ruddock MP",11/03/1996,26/11/2001,"Minister for Immigration and Multicultural Affairs"
"The Hon Philip Ruddock MP",25/09/1997,09/10/1997,"Acting Minister for Administrative Services"
"The Hon Philip Ruddock MP",21/10/1998,30/01/2001,"Minister Assisting the Prime Minister for Reconciliation"
"The Hon Philip Ruddock MP",30/01/2001,26/11/2001,"Minister for Reconciliation and Aboriginal and Torres Strait Islander Affairs"
"The Hon Philip Ruddock MP",26/11/2001,07/10/2003,"Minister for Immigration and Multicultural and Indigenous Affairs"
"The Hon Philip Ruddock MP",07/10/2003,03/12/2007,"Attorney-General"
"The Hon Richard Marles",09/06/2009,14/09/2010,"Parliamentary Secretary for Innovation and Industry"
"The Hon Richard Marles",14/09/2010,25/03/2013,"Parliamentary Secretary for Pacific Island Affairs"
"The Hon Richard Marles",05/03/2012,25/03/2013,"Parliamentary Secretary for Foreign Affairs"
"The Hon Richard Marles",01/07/2013,18/09/2013,"Minister for Trade"
"The Hon Robert McClelland MP",03/12/2007,14/12/2011,"Attorney-General"
"The Hon Robert McClelland MP",14/09/2010,05/03/2012,"Vice President of the Executive Council"
"The Hon Robert McClelland MP",14/12/2011,05/03/2012,"Minister for Emergency Management"
"The Hon Robert McClelland MP",14/12/2011,05/03/2012,"Minister for Homelessness"
"The Hon Robert McClelland MP",14/12/2011,05/03/2012,"Minister for Housing"
"The Hon Ross Cameron",26/11/2001,07/10/2003,"Parliamentary Secretary to the Minister for Family and Community Services"
"The Hon Ross Cameron",07/10/2003,21/10/2004,"Parliamentary Secretary to the Treasurer"
"The Hon Sharman Stone",21/10/1998,30/01/2001,"Parliamentary Secretary to the Minister for the Environment and Heritage"
"The Hon Sharon Bird MP",05/03/2012,25/03/2013,"Parliamentary Secretary for Higher Education and Skills"
"The Hon Sharon Bird MP",25/03/2013,01/07/2013,"Minister for Higher Education and Skills"
"The Hon Sharon Bird MP",01/07/2013,18/09/2013,"Minister for Regional Development, Regional Communication and Road Safety"
"The Hon Shayne Neumann MP",25/03/2013,18/09/2013,"Parliamentary Secretary for Health and Ageing"
"The Hon Shayne Neumann MP",25/03/2013,18/09/2013,"Parliamentary Secretary to the Attorney-General"
"The Hon Sid Sidebottom MP",14/12/2011,18/09/2013,"Parliamentary Secretary for Agriculture, Fisheries and Forestry"
"The Hon Simon Crean MP",03/12/2007,28/06/2010,"Minister for Trade"
"The Hon Simon Crean MP",28/06/2010,14/09/2010,"Minister for Education"
"The Hon Simon Crean MP",28/06/2010,14/09/2010,"Minister for Employment and Workplace Relations"
"The Hon Simon Crean MP",28/06/2010,14/09/2010,"Minister for Social Inclusion"
"The Hon Simon Crean MP",14/09/2010,25/03/2013,"Minister for Regional Australia, Regional Development and Local Government"
"The Hon Simon Crean MP",14/09/2010,25/03/2013,"Minister for the Arts  "
"The Hon Stephen Smith MP",03/12/2007,14/09/2010,"Minister for Foreign Affairs"
"The Hon Stephen Smith MP",28/06/2010,14/09/2010,"Minister for Trade"
"The Hon Stephen Smith MP",14/09/2010,18/09/2013,"Deputy Leader of the House"
"The Hon Stephen Smith MP",14/09/2010,18/09/2013,"Minister for Defence"
"The Hon Sussan Ley MP",22/10/2004,27/01/2006,"Parliamentary Secretary Children and Youth Affairs"
"The Hon Sussan Ley MP",27/01/2006,03/12/2007,"Parliamentary Secretary to the Minister for Agriculture, Fisheries and Forestry"
"The Hon Tanya Plibersek MP",03/12/2007,14/09/2010,"Minister for Housing"
"The Hon Tanya Plibersek MP",03/12/2007,14/09/2010,"Minister for the Status of Women"
"The Hon Tanya Plibersek MP",14/09/2010,14/12/2011,"Minister for Human Services"
"The Hon Tanya Plibersek MP",14/09/2010,14/12/2011,"Minister for Social Inclusion"
"The Hon Tanya Plibersek MP",14/12/2011,01/07/2013,"Minister for Health"
"The Hon Tanya Plibersek MP",01/07/2013,18/09/2013,"Minister for Health and Medical Research"
"The Hon Teresa Gambaro MP",18/07/2004,27/01/2006,"Parliamentary Secretary to the Minister for Defence"
"The Hon Teresa Gambaro MP",27/01/2006,30/01/2007,"Parliamentary Secretary Foreign Affairs"
"The Hon Teresa Gambaro MP",30/01/2007,21/03/2007,"Parliamentary Secretary to the Minister for Immigration and Citizenship"
"The Hon Teresa Gambaro MP",21/03/2007,03/12/2007,"Assistant Minister for Immigration and Citizenship"
"The Hon Tim Fischer",11/03/1996,20/07/1999,"Deputy Prime Minister"
"The Hon Tim Fischer",11/03/1996,20/07/1999,"Minister for Trade"
"The Hon Tony Abbott MP",11/03/1996,21/10/1998,"Parliamentary Secretary to the Minister for Employment, Education, Training and Youth Affairs"
"The Hon Tony Abbott MP",21/10/1998,30/01/2001,"Minister for Employment Services"
"The Hon Tony Abbott MP",30/01/2001,26/11/2001,"Minister for Employment, Workplace Relations and Small Business"
"The Hon Tony Abbott MP",26/11/2001,07/10/2003,"Minister for Employment and Workplace Relations"
