"Name","From","To","Ministers"
"The Hon Tony Abbott MP",19/03/2002,03/12/2007,"Leader of the House"
"The Hon Tony Abbott MP",07/10/2003,03/12/2007,"Minister for Health and Ageing"
"The Hon Tony Burke MP",03/12/2007,14/09/2010,"Minister for Agriculture, Fisheries and Forestry"
"The Hon Tony Burke MP",14/09/2010,01/07/2013,"Minister for Sustainability, Environment, Water, Population and Communities"
"The Hon Tony Burke MP",05/03/2012,18/09/2013,"Vice-President of the Executive Council"
"The Hon Tony Burke MP",25/03/2013,18/09/2013,"Minister for the Arts"
"The Hon Tony Burke MP",01/07/2013,18/09/2013,"Minister for Immigration, Multicultural Affairs and Citizenship"
"The Hon Tony Smith MP",30/01/2007,03/12/2007,"Parliamentary Secretary to the Prime Minister"
"The Hon Trish Worth",11/07/1997,21/10/1998,"Parliamentary Secretary to the Minister for Health and Family Services"
"The Hon Trish Worth",21/10/1998,26/11/2001,"Parliamentary Secretary to the Minister for Education, Training and Youth Affairs"
"The Hon Trish Worth",26/11/2001,21/10/2004,"Parliamentary Secretary to the Minister for Health and Ageing"
"The Hon Warren Entsch",21/10/1998,27/01/2006,"Parliamentary Secretary to the Minister for Industry, Science and Resources"
"The Hon Warren Snowdon MP",03/12/2007,09/06/2009,"Minister for Defence Science and Personnel"
"The Hon Warren Snowdon MP",09/06/2009,14/09/2010,"Minister for Indigenous Health, Rural and Regional Health and Regional Service Delivery"
"The Hon Warren Snowdon MP",14/09/2010,18/09/2013,"Minister for Defence Science and Personnel"
"The Hon Warren Snowdon MP",14/09/2010,18/09/2013,"Minister for Indigenous Health"
"The Hon Warren Snowdon MP",14/09/2010,18/09/2013,"Minister for Veterans' Affairs"
"The Hon Warren Snowdon MP",03/03/2011,18/09/2013,"Minister Assisting the Prime Minister on the Centenary of ANZAC"
"The Hon Warren Truss MP",09/10/1997,21/10/1998,"Minister for Customs and Consumer Affairs"
"The Hon Warren Truss MP",21/10/1998,20/07/1999,"Minister for Community Services"
"The Hon Warren Truss MP",20/07/1999,06/07/2005,"Minister for Agriculture, Fisheries and Forestry"
"The Hon Warren Truss MP",06/07/2005,29/09/2006,"Minister for Transport and Regional Services"
"The Hon Warren Truss MP",29/09/2006,03/12/2007,"Minister for Trade"
"The Hon Warwick Smith",11/03/1996,09/10/1997,"Minister for Sport, Territories and Local Government"
"The Hon Warwick Smith",09/10/1997,21/10/1998,"Minister for Family Services"
"The Hon Wayne Swan MP",03/12/2007,27/06/2013,"Treasurer"
"The Hon Wayne Swan MP",24/06/2010,27/06/2013,"Deputy Prime Minister"
"The Hon Yvette D'Ath MP",04/02/2013,18/09/2013,"Parliamentary Secretary for Climate Change and Energy Efficiency"
The Hon Tony Abbott MP,18/09/2013,15/09/2015,Prime Minister
The Hon Warren Truss MP,18/09/2013,18/02/2016,Deputy Prime Minister
The Hon Warren Truss MP,18/09/2013,18/02/2016,Minister for Infrastructure and Regional Development
The Hon Warren Truss MP,18/09/2013,12/02/2016,Leader of the Nationals
The Hon Julie Bishop MP,18/09/2013,26/08/2018,Minister for Foreign Affairs
The Hon Julie Bishop MP,18/09/2013,24/08/2018,Deputy Leader of the Liberal Party
Senator the Hon Eric Abetz,18/09/2013,21/09/2015,Minister for Employment
Senator the Hon Eric Abetz,18/09/2013,21/09/2015,Minister Assisting the Prime Minister for the Public Service
Senator the Hon Eric Abetz,18/09/2013,21/09/2015,Leader of the Government in the Senate
Senator the Hon George Brandis QC,18/09/2013,20/12/2017,Attorney-General
Senator the Hon George Brandis QC,18/09/2013,21/09/2015,Minister for the Arts
Senator the Hon George Brandis QC,18/09/2013,21/09/2015,Deputy Leader of the Government in the Senate
Senator the Hon George Brandis QC,21/09/2015,20/12/2017,Leader of the Government in the Senate
Senator the Hon George Brandis QC,18/09/2013,20/12/2017,Vice-President of the Executive Council
The Hon Joe Hockey MP,18/09/2013,21/09/2015,Treasurer
The Hon Barnaby Joyce MP,18/09/2013,21/09/2015,Minister for Agriculture
The Hon Barnaby Joyce MP,21/09/2015,30/08/2016,Minister for Agriculture and Water Resources
The Hon Barnaby Joyce MP,30/08/2016,20/12/2017,"Deputy Prime Minister and Minister for Agriculture and Water Resources"
The Hon Barnaby Joyce MP,18/09/2013,11/02/2016,Deputy Leader of the Nationals
The Hon Barnaby Joyce MP,11/02/2016,26/02/2018,Leader of the Nationals
The Hon Barnaby Joyce MP,20/12/2017,26/02/2018,"Deputy Prime Minister and Minister for Infrastructure and Transport"
The Hon Christopher Pyne MP,18/09/2013,23/11/2014,Minister for Education
The Hon Christopher Pyne MP,23/11/2014,21/09/2015,Minister for Education and Training
"The Hon Christopher Pyne MP",21/09/2015,30/08/2016,"Minister for Industry, Innovation and Science"
"The Hon Christopher Pyne MP",30/08/2016,26/08/2018,"Minister for Defence Industry"
The Hon Christopher Pyne MP,18/09/2013,,"Leader of the House"
The Hon Christopher Pyne MP,26/08/2018,,Minister for Defence
The Hon Christopher Pyne MP,02/03/2019,,"Minister for Defence Industry in the House"
Senator the Hon Nigel Scullion,18/09/2013,,Minister for Indigenous Affairs
Senator the Hon Nigel Scullion,18/09/2013,,Leader of the Nationals in the Senate
The Hon Ian Macfarlane MP,18/09/2013,23/11/2014,Minister for Industry
The Hon Ian Macfarlane MP,23/11/2014,21/09/2015,Minister for Industry and Science
The Hon Kevin Andrews MP,18/09/2013,23/11/2014,Minister for Social Services
The Hon Kevin Andrews MP,23/11/2014,21/09/2015,Minister for Defence
The Hon Malcolm Turnbull MP,18/09/2013,21/09/2015,Minister for Communications
The Hon Peter Dutton MP,18/09/2013,23/11/2014,Minister for Health
The Hon Peter Dutton MP,18/09/2013,23/11/2014,Minister for Sport
The Hon Peter Dutton MP,23/11/2014,26/08/2018,Minister for Immigration and Border Protection
The Hon Peter Dutton MP,20/12/2017,,"Minister for Home Affairs"
The Hon Peter Dutton MP,02/03/2019,,"Minister for Emergency Management and North Queensland Recovery in the House"
The Hon Bruce Billson MP,18/09/2013,21/09/2015,Minister for Small Business
The Hon Andrew Robb AO MP,18/09/2013,18/02/2016,Minister for Trade and Investment
Senator the Hon David Johnston,18/09/2013,23/11/2014,Minister for Defence
The Hon Greg Hunt MP,18/09/2013,30/08/2016,Minister for the Environment
The Hon Greg Hunt MP,30/08/2016,24/01/2017,"Minister for Industry, Innovation and Science"
The Hon Greg Hunt MP,24/01/2017,,Minister for Health
The Hon Greg Hunt MP,24/01/2017,20/12/2017,Minister for Sport
The Hon Scott Morrison MP,18/09/2013,23/11/2014,Minister for Immigration and Border Protection
The Hon Scott Morrison MP,23/11/2014,21/09/2015,Minister for Social Services
The Hon Scott Morrison MP,21/09/2015,24/08/2018,Treasurer
The Hon Scott Morrison MP,24/08/2018,,Prime Minister
Senator the Hon Mathias Cormann,18/09/2013,26/08/2018,Minister for Finance
Senator the Hon Mathias Cormann,24/01/2017,20/12/2017,Deputy Leader of the Government in the Senate
Senator the Hon Mathias Cormann,20/12/2017,,Vice-President of the Executive Council
Senator the Hon Mathias Cormann,20/12/2017,,Leader of the Government in the Senate
Senator the Hon Mathias Cormann,20/12/2017,26/08/2018,"Special Minister of State"
Senator the Hon Mathias Cormann,26/08/2018,,Minister for Finance and the Public Service
Senator the Hon Mitch Fifield,18/09/2013,21/09/2015,Assistant Minister for Social Services
Senator the Hon Mitch Fifield,18/09/2013,20/12/2017,Manager of Government Business in the Senate
Senator the Hon Mitch Fifield,21/09/2015,18/02/2016,Minister Assisting the Prime Minister for Digital Government
Senator the Hon Mitch Fifield,21/09/2015,26/08/2018,Minister for Communications
Senator the Hon Mitch Fifield,21/09/2015,26/08/2018,Minister for the Arts
Senator the Hon Mitch Fifield,20/12/2017,26/08/2018,"Deputy Leader of the Government in the Senate"
Senator the Hon Mitch Fifield,26/08/2018,,Minister for Communications and the Arts
Senator the Hon Mitch Fifield,26/08/2018,,Manager of Government Business in the Senate
The Hon Luke Hartsuyker MP,18/09/2013,21/09/2015,Assistant Minister for Employment
The Hon Luke Hartsuyker MP,18/09/2013,30/08/2016,Deputy Leader of the House
The Hon Darren Chester MP,30/08/2016,20/12/2017,"Deputy Leader of the House"
The Hon Luke Hartsuyker MP,21/09/2015,30/08/2016,Minister for Vocational Education and Skills
The Hon Luke Hartsuyker MP,30/08/2016,20/12/2017,Assistant Minister to the Deputy Prime Minister
The Hon Luke Hartsuyker MP,20/12/2017,26/08/2018,Assistant Minister for Trade, Tourism and Investment
Senator the Hon Fiona Nash,18/09/2013,21/09/2015,Assistant Minister for Health
Senator the Hon Fiona Nash,21/09/2015,30/08/2016,Minister for Rural Health
Senator the Hon Fiona Nash,18/09/2013,11/02/2016,"Deputy Leader of the Nationals in the Senate"
Senator the Hon Fiona Nash,30/08/2016,27/10/2017,"Minister for Regional Development"
Senator the Hon Fiona Nash,30/08/2016,27/10/2017,"Minister for Regional Communications"
Senator the Hon Fiona Nash,30/08/2016,27/10/2017,"Minister for Local Government and Territories"
Senator the Hon Fiona Nash,11/02/2016,27/10/2017,"Deputy Leader of the Nationals"
Senator the Hon Michael Ronaldson,18/09/2013,21/09/2015,Minister for Veterans Affairs
Senator the Hon Michael Ronaldson,18/09/2013,21/09/2015,Minister Assisting the Prime Minister for the Centenary of ANZAC
Senator the Hon Michael Ronaldson,18/09/2013,21/09/2015,Special Minister of State
The Hon Sussan Ley MP,18/09/2013,23/11/2014,Assistant Minister for Education
The Hon Sussan Ley MP,23/11/2014,19/07/2016,Minister for Health
The Hon Sussan Ley MP,23/11/2014,24/01/2017,Minister for Sport
The Hon Sussan Ley MP,21/09/2015,19/07/2016,Minister for Aged Care
The Hon Sussan Ley MP,26/08/2018,,Assistant Minister for Regional Development and Territories
Senator the Hon Marise Payne,18/09/2013,21/09/2015,Minister for Human Services
Senator the Hon Marise Payne,21/09/2015,26/08/2018,Minister for Defence
Senator the Hon Marise Payne,26/08/2018,,Minister for Foreign Affairs
The Hon Michael Keenan MP,18/09/2013,20/12/2017,Minister for Justice
The Hon Michael Keenan MP,28/05/2015,20/12/2017,"Minister Assisting the Prime Minister for Counter-Terrorism"
The Hon Michael Keenan MP,20/12/2017,26/08/2018,"Minister Assisting the Prime Minister for Digital Transformation"
The Hon Michael Keenan MP,20/12/2017,26/08/2018,"Minister for Human Services"
The Hon Michael Keenan MP,26/08/2018,,Minister for Human Services and Digital Transformation
The Hon Stuart Robert MP,18/09/2013,21/09/2015,Assistant Minister for Defence
The Hon Stuart Robert MP,21/09/2015,30/08/2016,Minister for Veterans Affairs
The Hon Stuart Robert MP,21/09/2015,30/08/2016,Minister Assisting the Prime Minister for the Centenary of ANZAC
The Hon Stuart Robert MP,21/09/2015,20/12/2017,Minister for Human Services
The Hon Stuart Robert MP,26/08/2018,,Assistant Treasurer
Senator the Hon Michaelia Cash,18/09/2013,21/09/2015,Assistant Minister for Immigration and Border Protection
Senator the Hon Michaelia Cash,18/09/2013,21/09/2015,Minister Assisting the Prime Minister for Women
Senator the Hon Michaelia Cash,21/09/2015,20/12/2017,Minister for Women
Senator the Hon Michaelia Cash,21/09/2015,20/12/2017,Minister Assisting the Prime Minister for the Public Service
Senator the Hon Michaelia Cash,21/09/2015,20/12/2017,Minister for Employment
Senator the Hon Michaelia Cash,20/12/2017,26/08/2018,"Minister for Jobs and Innovation"
Senator the Hon Michaelia Cash,26/08/2018,,Minister for Small and Family Business, Skills and Vocational Education
The Hon Jamie Briggs MP,18/09/2013,21/09/2015,Assistant Minister for Infrastructure and Regional Development
The Hon Jamie Briggs MP,21/09/2015,30/12/2015,Minister for Cities and the Built Environment
Senator the Hon Arthur Sinodinos AO,18/09/2013,19/12/2014,Assistant Treasurer
Senator the Hon Arthur Sinodinos AO,21/09/2015,24/01/2017,Cabinet Secretary
Senator the Hon Arthur Sinodinos AO,24/01/2017,20/12/2017,"Minister for Industry, Innovation and Science"
Senator the Hon Richard Colbeck,18/09/2013,21/09/2015,Parliamentary Secretary to the Minister for Agriculture
Senator the Hon Richard Colbeck,21/09/2015,19/07/2016,Minister for Tourism and International Education
Senator the Hon Richard Colbeck,21/09/2015,19/07/2016,Minister Assisting the Minister for Trade and Investment
Senator the Hon Richard Colbeck,26/08/2018,,Assistant Minister for Agriculture and Water Resources
The Hon Bob Baldwin MP,18/09/2013,23/11/2014,Parliamentary Secretary to the Minister for Industry
The Hon Bob Baldwin MP,23/11/2014,21/09/2015,Parliamentary Secretary to the Minister for the Environment
Senator the Hon Brett Mason,18/09/2013,23/11/2014,Parliamentary Secretary to the Minister for Foreign Affairs
The Hon Steven Ciobo MP,18/09/2013,23/11/2014,Parliamentary Secretary to the Treasurer
The Hon Steven Ciobo MP,23/11/2014,21/09/2015,Parliamentary Secretary to the Minister for Foreign Affairs
The Hon Steven Ciobo MP,23/11/2014,21/09/2015,Parliamentary Secretary to the Minister for Trade and Investment
The Hon Steven Ciobo MP,21/09/2015,30/08/2016,Minister for International Development and the Pacific
The Hon Steven Ciobo MP,30/08/2016,26/08/2018,"Minister for Trade, Tourism and Investment"
The Hon Steven Ciobo MP,26/08/2018,02/03/2019,Minister for Defence Industry
Senator the Hon Concetta Fierravanti-Wells,18/09/2013,21/09/2015,Parliamentary Secretary to the Minister for Social Services
Senator the Hon Concetta Fierravanti-Wells,21/09/2015,30/08/2016,Assistant Minister for Multicultural Affairs
Senator the Hon Concetta Fierravanti-Wells,30/08/2016,26/08/2018,"Minister for International Development and the Pacific"
Senator the Hon Simon Birmingham,18/09/2013,23/11/2014,Parliamentary Secretary to the Minister for the Environment
Senator the Hon Simon Birmingham,23/11/2014,21/09/2015,Assistant Minister for Education and Training
Senator the Hon Simon Birmingham,21/09/2015,26/08/2018,Minister for Education and Training
Senator the Hon Simon Birmingham,20/12/2017,26/08/2018,"Manager of Government Business in the Senate"
Senator the Hon Simon Birmingham,26/08/2018,,Minister for Trade, Tourism and Investment
Senator the Hon Simon Birmingham,26/08/2018,,Deputy Leader of the Government in the Senate
Senator the Hon Scott Ryan,18/09/2013,23/11/2014,Parliamentary Secretary to the Minister for Education
Senator the Hon Scott Ryan,23/11/2014,21/09/2015,Parliamentary Secretary to the Minister for Education and Training
Senator the Hon Scott Ryan,21/09/2015,18/02/2016,Assistant Cabinet Secretary
Senator the Hon Scott Ryan,30/08/2016,20/12/2017,"Special Minister of State"
Senator the Hon Scott Ryan,24/01/2017,20/12/2017,Minister Assisting the Prime Minister for Cabinet
The Hon Darren Chester MP,18/09/2013,21/09/2015,Parliamentary Secretary to the Minister for Defence
The Hon Darren Chester MP,21/09/2015,30/08/2016,Assistant Minister for Defence
The Hon Darren Chester MP,30/08/2016,20/12/2017,"Minister for Infrastructure and Transport"
The Hon Paul Fletcher MP,18/09/2013,21/09/2015,Parliamentary Secretary to the Minister for Communications
"The Hon Paul Fletcher MP",21/09/2015,30/08/2016,"Minister for Territories, Local Government and Major Projects"
"The Hon Paul Fletcher MP",30/08/2016,20/12/2017,"Minister for Urban Infrastructure"
"The Hon Paul Fletcher MP",20/12/2017,26/08/2018,"Minister for Urban Infrastructure and Cities"
"The Hon Paul Fletcher MP",26/08/2018,,Minister for Families and Social Services
The Hon Josh Frydenberg MP,18/09/2013,23/11/2014,Parliamentary Secretary to the Prime Minister
The Hon Josh Frydenberg MP,23/12/2014,21/09/2015,Assistant Treasurer
"The Hon Josh Frydenberg MP",21/09/2015,30/08/2016,"Minister for Resources, Energy and Northern Australia"
"The Hon Josh Frydenberg MP",30/08/2016,24/08/2018,"Minister for the Environment and Energy"
"The Hon Josh Frydenberg MP",24/08/2018,,Treasurer
"The Hon Josh Frydenberg MP",24/08/2018,,"Deputy Leader of the Liberal Party"
"The Hon Josh Frydenberg MP",02/03/2019,,"Minister for Trade, Tourism and Investment in the House"
The Hon Alan Tudge MP,18/09/2013,21/09/2015,Parliamentary Secretary to the Prime Minister
The Hon Alan Tudge MP,21/09/2015,30/08/2016,Assistant Minister to the Prime Minister
The Hon Alan Tudge MP,21/09/2015,30/08/2016,Assistant Minister for Social Services
The Hon Alan Tudge MP,30/08/2016,20/12/2017,"Minister for Human Services"
The Hon Alan Tudge MP,20/12/2017,26/08/2018,"Minister for Citizenship and Multicultural Affairs"
The Hon Alan Tudge MP,26/08/2018,,Minister for Cities, Urban Infrastructure and Population
The Hon Michael McCormack MP,18/09/2013,21/09/2015,Parliamentary Secretary to the Minister for Finance
The Hon Michael McCormack MP,21/09/2015,30/08/2016,Assistant Minister to the Deputy Prime Minister
The Hon Michael McCormack MP,30/08/2016,20/12/2017,"Minister for Small Business"
The Hon Michael McCormack MP,20/12/2017,05/03/2018,"Minister for Veterans' Affairs"
The Hon Michael McCormack MP,20/12/2017,05/03/2018,"Minister for Defence Personnel"
The Hon Michael McCormack MP,20/12/2017,05/03/2018,Deputy Leader of the House
The Hon Michael McCormack MP,20/12/2017,05/03/2018,"Minister Assisting the Prime Minister for the Centenary of ANZAC"
The Hon Christian Porter MP,23/11/2014,21/09/2015,Parliamentary Secretary to the Prime Minister
The Hon Christian Porter MP,21/09/2015,20/12/2017,Minister for Social Services
The Hon Christian Porter MP,20/12/2017,,Attorney-General
The Hon Karen Andrews MP,23/11/2014,21/09/2015,Parliamentary Secretary to the Minister for Industry and Science
The Hon Karen Andrews MP,30/09/2015,21/09/2015,Assistant Minister for Science
The Hon Karen Andrews MP,30/08/2016,26/08/2018,"Assistant Minister for Vocational Education and Skills"
The Hon Karen Andrews MP,26/08/2018,,Minister for Industry, Science and Technology
The Hon Kelly ODwyer MP,23/11/2014,21/09/2015,Parliamentary Secretary to the Treasurer
The Hon Kelly ODwyer MP,21/09/2015,30/08/2016,Minister for Small Business
The Hon Kelly ODwyer MP,21/09/2015,30/08/2016,Assistant Treasurer
The Hon Kelly ODwyer MP,30/08/2016,26/08/2018,"Minister for Revenue and Financial Services"
The Hon Kelly O'Dwyer MP,20/12/2017,26/08/2018,Minister for Women
The Hon Kelly O'Dwyer MP,20/12/2017,26/08/2018,"Minister Assisting the Prime Minister for the Public Service"
The Hon Kelly O'Dwyer MP,26/08/2018,,Minister for Jobs, Industrial Relations and Women
The Hon Malcolm Turnbull MP,15/09/2015,24/08/2018,Prime Minister
Senator the Hon James McGrath,21/09/2015,26/08/2018,Assistant Minister to the Prime Minister
The Hon Dr Peter Hendy MP,21/09/2015,18/02/2016,Assistant Minister for Productivity
The Hon Alex Hawke MP,21/09/2015,30/08/2016,"Assistant Minister to the Treasurer"
The Hon Alex Hawke MP,30/08/2016,20/12/2017,"Assistant Minister for Immigration and Border Protection"
The Hon Alex Hawke MP,20/12/2017,26/08/2018,"Assistant Minister for Home Affairs"
The Hon Alex Hawke MP,26/08/2018,,Special Minister of State
Senator the Hon Anne Ruston,21/09/2015,26/08/2018,Assistant Minister for Agriculture and Water Resources
Senator the Hon Anne Ruston,26/08/2018,,Assistant Minister for International Development and the Pacific
The Hon Wyatt Roy MP,21/09/2015,19/07/2016,Assistant Minister for Innovation
The Hon Ken Wyatt AM MP,21/09/2015,30/08/2016,Assistant Minister for Health
The Hon Ken Wyatt AM MP,30/08/2016,24/01/2017,"Assistant Minister for Health And Aged Care"
The Hon Ken Wyatt AM MP,24/01/2017,26/08/2018,Minister for Aged Care
The Hon Ken Wyatt AM MP,24/01/2017,,Minister for Indigenous Health
The Hon Ken Wyatt AM MP,26/08/2018,,Minister for Senior Australians and Aged Care
The Hon Dan Tehan MP,30/08/2016,20/12/2017,"Minister Assisting the Prime Minister for Cyber Security"
The Hon Dan Tehan MP,30/08/2016,20/12/2017,"Minister for Veterans Affairs"
The Hon Dan Tehan MP,30/08/2016,20/12/2017,"Minister Assisting the Prime Minister for the Centenary of ANZAC"
The Hon Dan Tehan MP,30/08/2016,20/12/2017,"Minister for Defence Personnel"
The Hon Dan Tehan MP,20/12/2017,26/08/2018,"Minister for Social Services"
The Hon Dan Tehan MP,26/08/2018,,Minister for Education
The Hon Angus Taylor MP,30/08/2016,20/12/2017,"Assistant Minister for Cities and Digital Transformation"
The Hon Angus Taylor MP,20/12/2017,26/08/2018,"Minister for Law Enforcement and Cybersecurity"
The Hon Angus Taylor MP,26/08/2018,,Minister for Energy
The Hon Keith Pitt MP,30/08/2016,20/12/2017,"Assistant Minister for Trade, Tourism and Investment"
Senator the Hon Matt Canavan,30/08/2016,,"Minister for Resources and Northern Australia"
The Hon Craig Laundy MP,30/08/2016,20/12/2017,"Assistant Minister for Industry, Innovation and Science"
The Hon Craig Laundy MP,20/12/2017,26/08/2018,"Minister for Small and Family Business, the Workplace and Deregulation"
The Hon Dr David Gillespie MP,30/08/2016,24/01/2017,"Assistant Minister for Rural Health"
The Hon Dr David Gillespie MP,24/01/2017,20/12/2017,Assistant Minister for Health
The Hon Dr David Gillespie MP,20/12/2017,26/08/2018,"Assistant Minister for Children and Families"
The Hon Jane Prentice MP,30/08/2016,26/08/2018,"Assistant Minister for Social Services and Disability Services"
Senator the Hon Zed Seselja,30/08/2016,20/12/2017,"Assistant Minister for Social Services and Multicultural Affairs"
Senator the Hon Zed Seselja,20/12/2017,26/08/2018,"Assistant Minister for Science, Jobs and Innovation"
Senator the Hon Zed Seselja,26/08/2018,,Assistant Minister for Treasury and Finance
The Hon Michael Sukkar MP,24/01/2017,26/08/2018,Assistant Minister to the Treasurer
The Hon Dr John McVeigh MP,20/12/2017,26/08/2018,"Minister for Regional Development, Territories and Local Government"
The Hon Damian Drum MP,20/12/2017,26/08/2018,Assistant Minister to the Deputy Prime Minister
Senator the Hon Concetta Fierravanti-Wells,20/12/2017,26/08/2018,"Minister for International Development and the Pacific"
The Hon David Coleman MP,20/12/2017,26/08/2018,Assistant Minister for Finance
The Hon David Coleman MP,26/08/2018,,Minister for Immigration, Citizenship and Multicultural Affairs
Senator the Hon Bridget McKenzie,20/12/2017,26/08/2018,"Minister for Regional Communications"
Senator the Hon Bridget McKenzie,20/12/2017,26/08/2018,"Minister for Rural Health"
Senator the Hon Bridget McKenzie,20/12/2017,26/08/2018,"Minister for Sport"
Senator the Hon Bridget McKenzie,26/08/2018,,Minister for Regional Services, Sport, Local Government and Decentralisation
The Hon Melissa Price MP,20/12/2017,26/08/2018,"Assistant Minister for the Environment"
The Hon Melissa Price MP,26/08/2018,,Minister for the Environment
The Hon David Littleproud MP,20/12/2017,,"Minister for Agriculture and Water Resources"
The Hon Michael McCormack MP,26/02/2018,,"Leader of the Nationals"
The Hon Michael McCormack MP,05/03/2018,,"Deputy Prime Minister and Minister for Infrastructure and Transport"
The Hon Darren Chester MP,05/03/2018,,"Minister for Veterans' Affairs"
The Hon Darren Chester MP,05/03/2018,,"Minister for Defence Personnel"
The Hon Darren Chester MP,05/03/2018,,"Minister Assisting the Prime Minister for the Centenary of ANZAC"
The Hon Darren Chester MP,05/03/2018,,Deputy Leader of the House
The Hon Steve Irons MP,26/08/2018,,Assistant Minister to the Prime Minister
The Hon Andrew Broad MP,26/08/2018,,Assistant Minister to the Deputy Prime Minister
The Hon Scott Buchholz MP,26/08/2018,,Assistant Minister for Roads and Transport
Senator the Hon David Fawcett,26/08/2018,,Assistant Minister for Defence
The Hon Mark Coulton MP,26/08/2018,,Assistant Minister for Trade, Tourism and Investment
Senator the Hon Linda Reynolds CSC,26/08/2018,02/03/2019,Assistant Minister for Home Affairs
Senator the Hon Linda Reynolds CSC,02/03/2019,,"Minister for Defence in the Senate"
Senator the Hon Linda Reynolds CSC,02/03/2019,,"Minister for Defence Industry"
Senator the Hon Linda Reynolds CSC,02/03/2019,,"Minister for Veterans' Affairs in the Senate"
Senator the Hon Linda Reynolds CSC,02/03/2019,,"Minister for Defence Personnel in the Senate"
Senator the Hon Linda Reynolds CSC,02/03/2019,,"Minister Assisting the Prime Minister for the Centenary of ANZAC in the Senate"
Senator the Hon Linda Reynolds CSC,02/03/2019,,"Minister for Emergency Management and North Queensland Recovery"
The Hon Sarah Henderson MP,26/08/2018,,Assistant Minister for Social Services, Housing and Disability Services
The Hon Michelle Landry MP,26/08/2018,,Assistant Minister for Children and Families
