The Hon Tony Abbott MP,03/03/2011,19/09/2012,Leader of the Opposition
The Hon Julie Bishop MP,03/03/2011,19/09/2012,Shadow Minister for Foreign Affairs
The Hon Julie Bishop MP,03/03/2011,19/09/2012,Shadow Minister for Trade
The Hon Julie Bishop MP,03/03/2011,19/09/2012,Deputy Leader of the Opposition
The Hon Warren Truss MP,03/03/2011,19/09/2012,Shadow Minister for Infrastructure and Transport
The Hon Warren Truss MP,03/03/2011,19/09/2012,Leader of The Nationals
Senator the Hon Eric Abetz,03/03/2011,19/09/2012,Shadow Minister for Employment and Workplace Relations
Senator the Hon Eric Abetz,03/03/2011,19/09/2012,Leader of the Opposition in the Senate
The Hon Joe Hockey MP,03/03/2011,19/09/2012,Shadow Treasurer
The Hon Christopher Pyne MP,03/03/2011,19/09/2012,"Shadow Minister for Education, Apprenticeships and Training"
The Hon Christopher Pyne MP,03/03/2011,19/09/2012,Manager of Opposition Business in the House
The Hon Ian Macfarlane MP,03/03/2011,19/09/2012,Shadow Minister for Energy and Resources
Senator the Hon George Brandis SC,03/03/2011,19/09/2012,Shadow Attorney-General
Senator the Hon George Brandis SC,03/03/2011,19/09/2012,Shadow Minister for the Arts
Senator the Hon George Brandis SC,03/03/2011,19/09/2012,Deputy Leader of the Opposition in the Senate
Senator the Hon David Johnston,03/03/2011,19/09/2012,Shadow Minister for Defence
The Hon Peter Dutton MP,03/03/2011,19/09/2012,Shadow Minister for Health and Ageing
The Hon Kevin Andrews MP,03/03/2011,19/09/2012,"Shadow Minister for Families, Housing and Human Services"
The Hon Greg Hunt MP,03/03/2011,19/09/2012,"Shadow Minister for Climate Action, Environment and Heritage"
Senator the Hon Nigel Scullion,03/03/2011,19/09/2012,Shadow Minister for Indigenous Affairs
Senator the Hon Nigel Scullion,03/03/2011,19/09/2012,Deputy Leader of The Nationals
Senator Barnaby Joyce,03/03/2011,19/09/2012,"Shadow Minister for Regional Development, Local Government and Water"
Senator Barnaby Joyce,03/03/2011,19/09/2012,Leader of The Nationals in the Senate
The Hon John Cobb MP,03/03/2011,19/09/2012,Shadow Minister for Agriculture and Food Security
The Hon Bruce Billson MP,03/03/2011,19/09/2012,"Shadow Minister for Small Business, Competition Policy and Consumer Affairs"
The Hon Malcolm Turnbull,03/03/2011,19/09/2012,Shadow Minister for Communications and Broadband
Mr Scott Morrison MP,03/03/2011,19/09/2012,Shadow Minister for Productivity and Population
Mr Scott Morrison MP,03/03/2011,19/09/2012,Shadow Minister for Immigration and Citizenship
Mrs Sophie Mirabella MP,03/03/2011,19/09/2012,"Shadow Minister for Innovation, Industry and Science"
The Hon Andrew Robb AO MP,03/03/2011,19/09/2012,"Shadow Minister for Finance, Deregulation and Debt Reduction"
The Hon Andrew Robb AO MP,03/03/2011,19/09/2012,Chairman of the Coalition Policy Development Committee
The Hon Bronwyn Bishop MP,03/03/2011,19/09/2012,Outer Shadow Ministry
The Hon Bronwyn Bishop MP,03/03/2011,19/09/2012,Shadow Special Minister of State
The Hon Bronwyn Bishop MP,03/03/2011,19/09/2012,Shadow Minister for Seniors
Senator the Hon Michael Ronaldson,03/03/2011,19/09/2012,Shadow Minister for Veterans' Affairs
Senator the Hon Michael Ronaldson,03/03/2011,19/09/2012,Shadow Minister Assisting the Leader of the Opposition on the Centenary of ANZAC
Mr Stuart Robert MP,03/03/2011,19/09/2012,"Shadow Minister for Defence Science, Technology and Personnel"
Senator Mathias Cormann,03/03/2011,19/09/2012,Shadow Assistant Treasurer
Senator Mathias Cormann,03/03/2011,19/09/2012,Shadow Minister for Financial Services and Superannuation
The Hon Sussan Ley MP,03/03/2011,19/09/2012,Shadow Minister for Employment Participation
The Hon Sussan Ley MP,03/03/2011,19/09/2012,Shadow Minister for Childcare and Early Childhood Learning
Senator Marise Payne,03/03/2011,19/09/2012,Shadow Minister for Indigenous Development and Employment
Senator Marise Payne,03/03/2011,19/09/2012,Shadow Minister for COAG
Senator Marise Payne,03/03/2011,19/09/2012,Shadow Minister for Housing
Senator the Hon Brett Mason,03/03/2011,19/09/2012,Shadow Minister for Universities and Research
Mr Luke Hartsuyker MP,03/03/2011,19/09/2012,Shadow Minister for Youth and Sport
Mr Luke Hartsuyker MP,03/03/2011,19/09/2012,Shadow Minister for Regional Communications
Mr Luke Hartsuyker MP,03/03/2011,19/09/2012,Deputy Manager of Opposition Business in the House
Mr Michael Keenan MP,03/03/2011,19/09/2012,"Shadow Minister for Justice, Customs and Border Protection"
The Hon Bob Baldwin MP,03/03/2011,19/09/2012,Shadow Minister Regional Development
The Hon Bob Baldwin MP,03/03/2011,19/09/2012,Shadow Minister for Tourism
Senator Concetta Fierravanti-Wells,03/03/2011,19/09/2012,Shadow Minister for Ageing
Senator Concetta Fierravanti-Wells,03/03/2011,19/09/2012,Shadow Minister for Mental Health
Senator Mitch Fifield,03/03/2011,19/09/2012,"Shadow Minister for Disabilities, Carers and the Voluntary Sector"
Senator Mitch Fifield,03/03/2011,19/09/2012,Manager of Opposition Business in the Senate
Senator the Hon Ian Macdonald,03/03/2011,19/09/2012,Shadow Parliamentary Secretaries
Senator the Hon Ian Macdonald,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for Northern and Remote Australia
Senator the Hon Ian Macdonald,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for the Defence Force and Defence Support
Dr Andrew Southcott MP,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for Primary Healthcare
Senator Richard Colbeck,03/03/2011,19/09/2012,"Shadow Parliamentary Secretary for Innovation, Industry and Science"
Senator Richard Colbeck,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for Fisheries and Forestry
Senator Cory Bernardi,03/03/2011,19/09/2012,Shadow Parliamentary Secretary Assisting the Leader of the Opposition
Senator Cory Bernardi,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for Supporting Families
Mr Darren Chester MP,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for Roads and Regional Transport
Senator Simon Birmingham,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for the Murray-Darling Basin
Senator Simon Birmingham,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for the Environment
The Hon Teresa Gambaro MP,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for International Development Assistance
The Hon Teresa Gambaro MP,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for Citizenship and Settlement
Senator Gary Humphries,03/03/2011,19/09/2012,Shadow Parliamentary Secretary to the Shadow Attorney-General
Senator Gary Humphries,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for Defence Materiel
Hon Tony Smith MP,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for Tax Reform
Hon Tony Smith MP,03/03/2011,19/09/2012,"Deputy Chairman , Coalition Policy Development Committee"
Dr Andrew Laming MP,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for Regional Health Services and Indigenous Health
Senator Michaelia Cash,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for the Status of Women
Senator Michaelia Cash,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for Immigration
Senator Fiona Nash,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for Regional Education
Mr Don Randall MP,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for Local Government
Senator Scott Ryan,03/03/2011,19/09/2012,Shadow Parliamentary Secretary for Small Business and Fair Competition
Mr Jamie Briggs MP,03/03/2011,19/09/2012,Chairman of the Scrutiny of Government Waste Committee
The Hon Tony Abbott MP,19/09/2012,,Leader of the Opposition
The Hon Julie Bishop MP,19/09/2012,,Shadow Minister for Foreign Affairs
The Hon Julie Bishop MP,19/09/2012,,Shadow Minister for Trade
The Hon Julie Bishop MP,19/09/2012,,Deputy Leader of the Opposition
The Hon Warren Truss MP,19/09/2012,,Shadow Minister for Infrastructure and Transport
The Hon Warren Truss MP,19/09/2012,,Leader of The Nationals
Senator the Hon Eric Abetz,19/09/2012,,Shadow Minister for Employment and Workplace Relations
Senator the Hon Eric Abetz,19/09/2012,,Leader of the Opposition in the Senate
The Hon Joe Hockey MP,19/09/2012,,Shadow Treasurer
The Hon Christopher Pyne MP,19/09/2012,,"Shadow Minister for Education, Apprenticeships and Training"
The Hon Christopher Pyne MP,19/09/2012,,Manager of Opposition Business in the House
The Hon Ian Macfarlane MP,19/09/2012,,Shadow Minister for Energy and Resources
Senator the Hon George Brandis SC,19/09/2012,,Shadow Attorney-General
Senator the Hon George Brandis SC,19/09/2012,,Shadow Minister for the Arts
Senator the Hon George Brandis SC,19/09/2012,,Deputy Leader of the Opposition in the Senate
Senator the Hon David Johnston,19/09/2012,,Shadow Minister for Defence
The Hon Peter Dutton MP,19/09/2012,,Shadow Minister for Health and Ageing
The Hon Kevin Andrews MP,19/09/2012,,"Shadow Minister for Families, Housing and Human Services"
The Hon Greg Hunt MP,19/09/2012,,"Shadow Minister for Climate Action, Environment and Heritage"
Senator the Hon Nigel Scullion,19/09/2012,,Shadow Minister for Indigenous Affairs
Senator the Hon Nigel Scullion,19/09/2012,,Deputy Leader of The Nationals
Senator Barnaby Joyce,19/09/2012,,"Shadow Minister for Regional Development, Local Government and Water"
Senator Barnaby Joyce,19/09/2012,,Leader of The Nationals in the Senate
The Hon John Cobb MP,19/09/2012,,Shadow Minister for Agriculture and Food Security
The Hon Bruce Billson MP,19/09/2012,,"Shadow Minister for Small Business, Competition Policy and Consumer Affairs"
The Hon Malcolm Turnbull,19/09/2012,,Shadow Minister for Communications and Broadband
Mr Scott Morrison MP,19/09/2012,,Shadow Minister for Productivity and Population
Mr Scott Morrison MP,19/09/2012,,Shadow Minister for Immigration and Citizenship
Mrs Sophie Mirabella MP,19/09/2012,,"Shadow Minister for Innovation, Industry and Science"
The Hon Andrew Robb AO MP,19/09/2012,,"Shadow Minister for Finance, Deregulation and Debt Reduction"
The Hon Andrew Robb AO MP,19/09/2012,,Chairman of the Coalition Policy Development Committee
The Hon Bronwyn Bishop MP,19/09/2012,,Outer Shadow Ministry
The Hon Bronwyn Bishop MP,19/09/2012,,Shadow Special Minister of State
The Hon Bronwyn Bishop MP,19/09/2012,,Shadow Minister for Seniors
Senator the Hon Michael Ronaldson,19/09/2012,,Shadow Minister for Veterans' Affairs
Senator the Hon Michael Ronaldson,19/09/2012,,Shadow Minister Assisting the Leader of the Opposition on the Centenary of ANZAC
Mr Stuart Robert MP,19/09/2012,,"Shadow Minister for Defence Science, Technology and Personnel"
Senator Mathias Cormann,19/09/2012,,Shadow Assistant Treasurer
Senator Mathias Cormann,19/09/2012,,Shadow Minister for Financial Services and Superannuation
The Hon Sussan Ley MP,19/09/2012,,Shadow Minister for Employment Participation
The Hon Sussan Ley MP,19/09/2012,,Shadow Minister for Childcare and Early Childhood Learning
Senator Marise Payne,19/09/2012,,Shadow Minister for Indigenous Development and Employment
Senator Marise Payne,19/09/2012,,Shadow Minister for COAG
Senator Marise Payne,19/09/2012,,Shadow Minister for Housing
Senator the Hon Brett Mason,19/09/2012,,Shadow Minister for Universities and Research
Mr Luke Hartsuyker MP,19/09/2012,,Shadow Minister for Youth and Sport
Mr Luke Hartsuyker MP,19/09/2012,,Shadow Minister for Regional Communications
Mr Luke Hartsuyker MP,19/09/2012,,Deputy Manager of Opposition Business in the House
Mr Michael Keenan MP,19/09/2012,,"Shadow Minister for Justice, Customs and Border Protection"
The Hon Bob Baldwin MP,19/09/2012,,Shadow Minister Regional Development
The Hon Bob Baldwin MP,19/09/2012,,Shadow Minister for Tourism
Senator Concetta Fierravanti-Wells,19/09/2012,,Shadow Minister for Ageing
Senator Concetta Fierravanti-Wells,19/09/2012,,Shadow Minister for Mental Health
Senator Mitch Fifield,19/09/2012,,"Shadow Minister for Disabilities, Carers and the Voluntary Sector"
Senator Mitch Fifield,19/09/2012,,Manager of Opposition Business in the Senate
Senator the Hon Ian Macdonald,19/09/2012,,Shadow Parliamentary Secretaries
Senator the Hon Ian Macdonald,19/09/2012,,Shadow Parliamentary Secretary for Northern and Remote Australia
Senator the Hon Ian Macdonald,19/09/2012,,Shadow Parliamentary Secretary for the Defence Force and Defence Support
Dr Andrew Southcott MP,19/09/2012,,Shadow Parliamentary Secretary for Primary Healthcare
Senator Richard Colbeck,19/09/2012,,"Shadow Parliamentary Secretary for Innovation, Industry and Science"
Senator Richard Colbeck,19/09/2012,,Shadow Parliamentary Secretary for Fisheries and Forestry
Senator Arthur Sinodinos,19/09/2012,,Shadow Parliamentary Secretary Assisting the Leader of the Opposition
Mr Darren Chester MP,19/09/2012,,Shadow Parliamentary Secretary for Roads and Regional Transport
Senator Simon Birmingham,19/09/2012,,Shadow Parliamentary Secretary for the Murray-Darling Basin
Senator Simon Birmingham,19/09/2012,,Shadow Parliamentary Secretary for the Environment
The Hon Teresa Gambaro MP,19/09/2012,,Shadow Parliamentary Secretary for International Development Assistance
The Hon Teresa Gambaro MP,19/09/2012,,Shadow Parliamentary Secretary for Citizenship and Settlement
Senator Gary Humphries,19/09/2012,,Shadow Parliamentary Secretary to the Shadow Attorney-General
Senator Gary Humphries,19/09/2012,,Shadow Parliamentary Secretary for Defence Materiel
Hon Tony Smith MP,19/09/2012,,Shadow Parliamentary Secretary for Tax Reform
Hon Tony Smith MP,19/09/2012,,"Deputy Chairman , Coalition Policy Development Committee"
Dr Andrew Laming MP,19/09/2012,,Shadow Parliamentary Secretary for Regional Health Services and Indigenous Health
Senator Michaelia Cash,19/09/2012,,Shadow Parliamentary Secretary for the Status of Women
Senator Michaelia Cash,19/09/2012,,Shadow Parliamentary Secretary for Immigration
Senator Michaelia Cash,19/09/2012,,Deputy Manager of Opposition Business in the Senate
Senator Fiona Nash,19/09/2012,,Shadow Parliamentary Secretary for Regional Education
Mr Don Randall MP,19/09/2012,,Shadow Parliamentary Secretary for Local Government
Senator Scott Ryan,19/09/2012,,Shadow Parliamentary Secretary for Small Business and Fair Competition
Mr Jamie Briggs MP,19/09/2012,,Shadow Parliamentary Secretary for Supporting Families
Mr Jamie Briggs MP,19/09/2012,,Chairman of the Scrutiny of Government Waste Committee
